query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Ventral Anterior Thalamus,ventral anterior nucleus of thalamus,HOMBA:10417,0.90125,bm25+fuzzy,ventral anterior nuclei of thalamus,Ventral Anterior Thalamus,ventral,1.0,high_confidence,anterior nuclear complex of thalamus,0.46289
Ventral cortical amygdaloid nucleus,cortical nucleus of amygdala,HOMBA:10373,0.7722,bm25+fuzzy,cortical amygdaloid nucleus,Ventral cortical amygdaloid nucleus,ventral,0.0,needs_review,anterior (rostral) cortical nucleus of amygdala,0.538987
Ventral endopiriform claustrum,claustrum-endopiriform nuclear complex,HOMBA:AA30262,0.526068,bm25+fuzzy,claustrum-endopiriform nuclear complex,Ventral endopiriform claustrum,ventral,0.0,low_confidence,regions of claustrum-endopiriform nuclear complex,0.503383
Ventral Lateral Anterior Thalamus,ventral anterior nucleus of thalamus,HOMBA:10417,0.743187,bm25+fuzzy,ventral anterior nuclei of thalamus,Ventral Lateral Anterior Thalamus,ventral;lateral,0.5,modifier_conflict,ventral lateral nucleus of thalamus,0.443727
Ventral Lateral Posterodorsal Thalamus,ventral lateral nucleus of thalamus,HOMBA:10420,0.76566,bm25+fuzzy,ventral lateral nucleus of thalamus,Ventral Lateral Posterodorsal Thalamus,ventral;lateral,1.0,needs_review,ventral thalamus,0.656804
Ventral Lateral Posteroventral Thalamus,ventral lateral nucleus of thalamus,HOMBA:10420,0.774681,bm25+fuzzy,ventral lateral nucleus of thalamus,Ventral Lateral Posteroventral Thalamus,ventral;lateral,1.0,needs_review,ventral thalamus,0.692887
Ventral Lateral X Thalamus,ventral lateral nucleus of thalamus,HOMBA:10420,0.443727,bm25,ventral lateral nucleus of thalamus,Ventral Lateral X Thalamus,ventral;lateral,1.0,low_confidence,lateral subdivision of LaV,0.382247
Ventral Medial Thalamus,ventral medial nucleus of thalamus,HOMBA:10427,0.891381,bm25+fuzzy,ventral medial nuclei of thalamus,Ventral Medial Thalamus,ventral;medial,1.0,needs_review,ventral thalamus,0.821184
Ventral pallidum,ventral pallidum,HOMBA:10345,1.0,bm25+exact+fuzzy,Ventral pallidum,Ventral pallidum,ventral,1.0,high_confidence,globus pallidus (paleostriatum),0.705435
Ventral tegmental area,ventral tegmental area,HOMBA:12261,1.0,bm25+exact+fuzzy,Ventral tegmental area,Ventral tegmental area,ventral,1.0,high_confidence,ventral tegmental tract in hindbrain,0.876515
Ventrolateral Tegmentum,pontine tegmentum,HOMBA:12416,0.507402,bm25+fuzzy+hierarchy_parent,pontine tegmentum,Ventrolateral Tegmentum,,1.0,low_confidence,paracollicular tegmentum,0.505943
Ventrolateral thalamic nucleus (posterodorsal part),ventrolateral tegmental nucleus,HOMBA:12534,0.557611,bm25+fuzzy,ventrolateral tegmental nucleus,Ventrolateral thalamic nucleus,posterodorsal,0.0,low_confidence,ventrolateral nucleus of Pr5,0.531697
Ventrolateral thalamic nucleus (posteroventral part),ventrolateral tegmental nucleus,HOMBA:12534,0.557611,bm25+fuzzy,ventrolateral tegmental nucleus,Ventrolateral thalamic nucleus,posteroventral,0.0,low_confidence,ventrolateral nucleus of Pr5,0.531697
Ventromedial hypothalamic nucleus,ventromedial hypothalamic nucleus,HOMBA:10488,1.0,bm25+exact+fuzzy+hierarchy_parent,Ventromedial hypothalamic nucleus,Ventromedial hypothalamic nucleus,,1.0,high_confidence,core of ventromedial hypothalamic nucleus,0.75465
Ventromedial occipital cortex,extrastriate occipital cortex,HOMBA:10270,0.863622,bm25+hierarchy_parent,extrastriate occipital cortex,Ventromedial occipital cortex,,1.0,needs_review,ventromedial extrastriate occipital cortex,0.783622
Ventromedial Posterior+basal Thalamus,ventral posterior nuclear complex of thalamus,HOMBA:10423,0.683272,bm25+fuzzy,ventral posterior nucleus of thalamus,Ventromedial Posterior+basal Thalamus,posterior,1.0,needs_review,periventricular area of posterior thalamus,0.671504
Ventromedial thalamic nucleus (posterior and basal),ventromedial hypothalamic nucleus,HOMBA:10488,0.614541,bm25+fuzzy,ventromedial hypothalamic nucleus,Ventromedial thalamic nucleus,posterior;basal;posterior and basal,0.0,needs_review,basomedial nucleus (accessory basal nucleus) of amygdala,0.556227
Ventroposterior inferior thalamic nucleus,ventral midline nuclei of thalamus,HOMBA:AA30276,0.617892,hierarchy_parent,ventral midline nuclei of thalamus,Ventroposterior inferior thalamic nucleus,,1.0,needs_review,inferior thalamic peduncle,0.583872
