query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Vestibular nucleus,vestibular nuclei in pons,HOMBA:12448,1.0,bm25+exact+fuzzy+hierarchy_parent,Vestibular nucleus,Vestibular nucleus,,1.0,high_confidence,vestibular nuclei in medulla,0.816733
Optic chiasm,optic chiasm,HOMBA:10644,1.0,bm25+exact+fuzzy,Optic chiasm,Optic chiasm,,1.0,high_confidence,optic nerve,0.25043
Optic tract,optic tract,HOMBA:10589,1.0,bm25+exact+fuzzy,Optic tract,Optic tract,,1.0,high_confidence,nucleus of the optic tract  (lentiform nucleus),0.590045
Roots of the abducens nerve,root of abducens nerve,HOMBA:12861,1.0,bm25+exact+fuzzy,Roots of the abducens nerve,Roots of the abducens nerve,,1.0,high_confidence,root of facial nerve,0.395293
Roots of the facial nerve,root of facial nerve,HOMBA:12862,1.0,bm25+exact+fuzzy+hierarchy_parent,Roots of the facial nerve,Roots of the facial nerve,,1.0,high_confidence,motor root of facial nerve,0.8775
Roots of the trigeminal nerve,root of trigeminal nerve,HOMBA:12865,1.0,bm25+exact+fuzzy+hierarchy_parent,Roots of the trigeminal nerve,Roots of the trigeminal nerve,,1.0,high_confidence,motor root of trigeminal nerve,0.8775
Corticospinal tract,corticospinal tract,HOMBA:12047,1.0,bm25+exact+fuzzy,Corticospinal tract,Corticospinal tract,,1.0,high_confidence,pyramidal tract,0.97
Medial lemniscus,medial lemniscus,HOMBA:12763,1.0,bm25+exact+fuzzy,Medial lemniscus,Medial lemniscus,medial,1.0,high_confidence,decussation of medial lemniscus,0.861263
Medial longitudinal fasciculus,medial longitudinal fasciculus,HOMBA:12764,1.0,bm25+exact+fuzzy,Medial longitudinal fasciculus,Medial longitudinal fasciculus,medial,1.0,high_confidence,medial longitudinal fasciculus in spinal cord,0.9325
Spinothalamic tract,spinothalamic tract,HOMBA:12789,1.0,bm25+exact+fuzzy,Spinothalamic tract,Spinothalamic tract,,1.0,high_confidence,dorsolateral spinothalamic tract in spinal cord,0.590549
Cerebral peduncle,cerebral peduncle (crus cerebri),HOMBA:12330,1.0,bm25+exact+fuzzy,Cerebral peduncle,Cerebral peduncle,,1.0,high_confidence,telencephalon,0.308477
Trigeminal tract (mesencephalic),mesencephalic trigeminal tract,HOMBA:12767,0.982135,bm25+fuzzy,mesencephalic trigeminal tract,Trigeminal tract (mesencephalic),mesencephalic,1.0,high_confidence,mesencephalic trigeminal nucleus,0.737774
