dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Insular area FOP5,low_confidence,0.547455,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent,Insular area FOP5,insula,,1.0,major insular cortex,0.424743,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area TF,low_confidence,0.568748,HOMBA:10260,lateral division of PHC (area TF),bm25+fuzzy,Temporal area TF,area TF,,1.0,temporal lobe,0.528107,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area IP0,low_confidence,0.574173,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area IP0,parietal lobe,,1.0,parietal operculum,0.494173,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area IP1,low_confidence,0.574173,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area IP1,parietal lobe,,1.0,parietal operculum,0.494173,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area IP2,low_confidence,0.574173,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area IP2,parietal lobe,,1.0,parietal operculum,0.494173,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area PFt,low_confidence,0.574173,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area PFt,parietal lobe,,1.0,"rostral division of IPC (IPCr, area 40, area PF)",0.496324,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area PGi,low_confidence,0.574173,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area PGi,parietal lobe,,1.0,parietal operculum,0.494173,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area PGp,low_confidence,0.574173,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area PGp,parietal lobe,,1.0,parietal operculum,0.494173,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area PGs,low_confidence,0.574173,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area PGs,parietal lobe,,1.0,parietal operculum,0.494173,D_homba_gap,HOMBA lacks this granularity
corpus,Frontal area SFL,low_confidence,0.579864,HOMBA:12113,frontal lobe,bm25+fuzzy+hierarchy_parent,Frontal area SFL,frontal lobe,,1.0,frontal pole,0.499864,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area PFm,low_confidence,0.584173,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area PFm,parietal lobe,,1.0,parietal operculum,0.504173,D_homba_gap,HOMBA lacks this granularity
corpus,Parietal area PFop,low_confidence,0.585961,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent,Parietal area PFop,parietal lobe,,1.0,parietal operculum,0.505961,D_homba_gap,HOMBA lacks this granularity
