query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
"Substantia nigra, reticular part","substantia nigra, reticular division",HOMBA:12259,1.0,bm25+exact+fuzzy,"Substantia nigra, reticular part","Substantia nigra, reticular part",reticular,1.0,high_confidence,substantia nigra,0.655554
Superficial gray layer of the superior colliculus,superficial gray layer of superior colliculus,HOMBA:12295,1.0,bm25+fuzzy,superficial gray layer of superior colliculus,Superficial gray layer of the superior colliculus,layer,1.0,high_confidence,superficial layer of superior colliculus,0.52229
Superior cerebellar peduncle and prerubral field,superior cerebellar peduncle (brachium conjunctivum),HOMBA:12354,0.775864,bm25+fuzzy,superior cerebellar peduncle,Superior cerebellar peduncle and prerubral field,,1.0,needs_review,prerubral field (field H3),0.602547
Superior paraolivary nucleus,superior paraolivary nucleus,HOMBA:12463,1.0,bm25+exact+fuzzy,Superior paraolivary nucleus,Superior paraolivary nucleus,,1.0,high_confidence,superior olivary complex,0.97
Superior periolivary region,superior olivary complex,HOMBA:12462,0.538192,bm25+fuzzy+hierarchy_parent,superior olivary complex,Superior periolivary region,,1.0,low_confidence,"rostral (anterior, superior) medullary velum",0.477358
Suprageniculate nucleus,suprageniculate nucleus,HOMBA:13044,1.0,bm25+exact+fuzzy,Suprageniculate nucleus,Suprageniculate nucleus,,1.0,high_confidence,cerebellar deep nuclei,0.260408
Supraoptic decussation,supraoptic decussation,HOMBA:13216,1.0,bm25+exact+fuzzy,Supraoptic decussation,Supraoptic decussation,decussation,1.0,high_confidence,pyramidal decussation,0.387702
Temporal association cortex,temporal cortex,HOMBA:10235,0.669796,bm25+fuzzy+hierarchy_parent,temporal cortex,Temporal association cortex,,1.0,needs_review,major ventrolateral temporal cortex (area TE),0.641025
Transverse fibers of the pons,transverse fibers of pons (pontine crossing tract),HOMBA:12795,0.80058,bm25+fuzzy,transverse fibers of pons,Transverse fibers of the pons,,1.0,needs_review,transverse fibers,0.793822
Trapezoid body,trapezoid body,HOMBA:12796,1.0,bm25+exact+fuzzy,Trapezoid body,Trapezoid body,,1.0,high_confidence,nucleus of trapezoid body,0.680833
Ventral anterior thalamic nucleus,ventral anterior nucleus of thalamus,HOMBA:10417,1.0,bm25+exact+fuzzy,Ventral anterior thalamic nucleus,Ventral anterior thalamic nucleus,ventral,1.0,high_confidence,anterior nuclear complex of thalamus,0.6952
"Ventral cochlear nucleus, anterior part",ventral cochlear nucleus,HOMBA:12439,0.968684,bm25+fuzzy,ventral cochlear nucleus,"Ventral cochlear nucleus, anterior part",ventral,1.0,high_confidence,"ventral cochlear nucleus, rostral division",0.829934
"Ventral cochlear nucleus, cap area",ventral cochlear nucleus,HOMBA:12439,0.9975,bm25+fuzzy,ventral cochlear nucleus,"Ventral cochlear nucleus, cap area",ventral,1.0,high_confidence,"ventral cochlear nucleus, caudal division",0.872049
"Ventral cochlear nucleus, granule cell layer",ventral cochlear nucleus,HOMBA:12439,0.791105,bm25+fuzzy,ventral cochlear nucleus,"Ventral cochlear nucleus, granule cell layer",ventral;layer,0.5,modifier_conflict,granular cell layer of cochlear nuclei,0.712535
"Ventral cochlear nucleus, posterior part",ventral cochlear nucleus,HOMBA:12439,0.896538,bm25+fuzzy,ventral cochlear nucleus,"Ventral cochlear nucleus, posterior part",ventral;posterior,0.5,modifier_conflict,"ventral cochlear nucleus, rostral division",0.798701
Ventral hippocampal commissure,ventral hippocampal commissure,HOMBA:12023,1.0,bm25+exact+fuzzy,Ventral hippocampal commissure,Ventral hippocampal commissure,ventral,1.0,high_confidence,hippocampal commissure,0.753867
Ventral orbital area,anterior (ventral /principal) pretectal nucleus,HOMBA:12187,0.695,bm25+fuzzy,ventral,Ventral orbital area,ventral,1.0,needs_review,anterior (ventral) spinal artery,0.695
Ventral periolivary nuclei,"solitary nucleus, ventral division",HOMBA:12568,0.78137,bm25+fuzzy,ventral part solitary nucleus,ventral periolivary nucleus,ventral,1.0,needs_review,periolivary nuclei,0.753867
"Ventral posterior nucleus of the thalamus, parvicellular part",parvicellular nucleus of posterior thalamus,HOMBA:AA30312,0.780894,bm25+fuzzy,parvicellular nuclei of posterior thalamus,ventral posterior nuclei of the thalamus parvicellular part,ventral;posterior;parvicellular,0.666667,modifier_conflict,parvicellular ventral posterior (medial) nucleus (VPMpc),0.502723
Ventral posterolateral thalamic nucleus,ventral posterior lateral nucleus,HOMBA:10424,0.9975,bm25+fuzzy,ventral posterolateral nucleus,ventral posterolateral nucleus of thalamus,ventral,1.0,high_confidence,ventral lateral nucleus of thalamus,0.888079
Ventral posteromedial thalamic nucleus,ventral posterior medial nucleus,HOMBA:10425,0.9975,bm25+fuzzy,ventral posteromedial nucleus,ventral posteromedial nucleus of thalamus,ventral,1.0,high_confidence,ventral medial nucleus of thalamus,0.880708
Ventral striatal region (unspecified),ventral striatum (STRv),HOMBA:AA30195,0.677984,bm25+fuzzy,ventral striatum,Ventral striatal region,ventral,1.0,needs_review,anterior (ventral /principal) pretectal nucleus,0.660761
"Ventral striatal region, unspecified",anterior (ventral /principal) pretectal nucleus,HOMBA:12187,0.601968,bm25+fuzzy,ventral,"Ventral striatal region, unspecified",ventral,1.0,needs_review,anterior (ventral) spinal artery,0.601968
"Ventricular system, unspecified",ventricular zone of neocortex,HOMBA:10542,0.48316,bm25+fuzzy+hierarchy_parent,ventricular zone,"Ventricular system, unspecified",,1.0,low_confidence,central nervous system (neural tube),0.237477
Ventrolateral orbital area,orbital gyri,HOMBA:AA30533,0.521501,bm25+hierarchy_parent,orbital gyri,Ventrolateral orbital area,,1.0,low_confidence,ventrolateral division of AV,0.50358
