structure_name,dataset,rcs_score,rcs_review_flag,rcs_candidate_homba_id,rcs_candidate_name,rcs_methods
Superior frontal gyrus (dorsolateral),corpus,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
Middle frontal gyrus,corpus,1.0000,high_confidence,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy
Inferior frontal gyrus (opercular part),corpus,1.0000,high_confidence,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy
Inferior frontal gyrus (triangular part),corpus,1.0000,high_confidence,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy
Superior frontal gyrus (medial),corpus,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
Supplementary motor area,corpus,1.0000,high_confidence,HOMBA:AA30012,medial division of area 6 (supplementary motor area),bm25+exact+fuzzy
Paracentral lobule,corpus,1.0000,high_confidence,HOMBA:12138,"paracentral lobule, caudal part",bm25+exact+fuzzy
Superior frontal gyrus (orbital part),corpus,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
Superior frontal gyrus (medial orbital),corpus,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
Middle frontal gyrus (orbital part),corpus,1.0000,high_confidence,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy
Inferior frontal gyrus (orbital part),corpus,1.0000,high_confidence,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy
Gyrus rectus,corpus,1.0000,high_confidence,HOMBA:12121,rectus gyrus,bm25+exact+fuzzy
Olfactory cortex,corpus,1.0000,high_confidence,HOMBA:12073,olfactory tract,bm25+exact+fuzzy
Superior temporal gyrus,corpus,1.0000,high_confidence,HOMBA:12140,superior temporal gyrus,bm25+exact+fuzzy
Heschl gyrus,corpus,0.6250,needs_review,HOMBA:12150,cuneus (gyrus),bm25+fuzzy
Middle temporal gyrus,corpus,1.0000,high_confidence,HOMBA:12141,middle temporal gyrus,bm25+exact+fuzzy
Inferior temporal gyrus,corpus,1.0000,high_confidence,HOMBA:12142,inferior temporal gyrus,bm25+exact+fuzzy
Superior parietal gyrus,corpus,1.0000,high_confidence,HOMBA:12133,superior parietal lobule (gyrus),bm25+exact+fuzzy
Inferior parietal lobule,corpus,1.0000,high_confidence,HOMBA:12134,inferior parietal lobule (gyrus),bm25+exact+fuzzy
Angular gyrus,corpus,1.0000,high_confidence,HOMBA:12136,angular gyrus,bm25+exact+fuzzy
Supramarginal gyrus,corpus,1.0000,high_confidence,HOMBA:12135,supramarginal gyrus,bm25+exact+fuzzy
Precuneus,corpus,1.0000,high_confidence,HOMBA:12137,precuneaus (gyrus),bm25+exact+fuzzy
Superior occipital gyrus,corpus,1.0000,high_confidence,HOMBA:12154,superior occipital gyrus,bm25+exact+fuzzy
