lit_name,rank,bna_l2_abbr,bna_l2_name,bna_lobe,p_raw,p,n_papers,n_coords,k_papers,eff_n,n80,n_observed,top1_p
sub gyral,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.3333,0.2037,5.0,5,15.0,17.05,14,9,0.2037
sub gyral,2,PrG,Precentral Gyrus,Frontal Lobe,0.1333,0.0926,2.0,4,15.0,17.05,14,9,0.2037
sub gyral,3,STG,Superior Temporal Gyrus,Temporal Lobe,0.1333,0.0926,2.0,2,15.0,17.05,14,9,0.2037
sub gyral,4,FuG,Fusiform Gyrus,Temporal Lobe,0.0667,0.0556,1.0,1,15.0,17.05,14,9,0.2037
sub gyral,5,Hipp,Hippocampus,Subcortical Nuclei,0.0667,0.0556,1.0,1,15.0,17.05,14,9,0.2037
sub gyral,6,INS,Insular Gyrus,Insular Lobe,0.0667,0.0556,1.0,1,15.0,17.05,14,9,0.2037
sub gyral,7,ITG,Inferior Temporal Gyrus,Temporal Lobe,0.0667,0.0556,1.0,1,15.0,17.05,14,9,0.2037
sub gyral,8,MFG,Middle Frontal Gyrus,Frontal Lobe,0.0667,0.0556,1.0,1,15.0,17.05,14,9,0.2037
sub gyral,9,SPL,Superior Parietal Lobule,Parietal Lobe,0.0667,0.0556,1.0,1,15.0,17.05,14,9,0.2037
sub gyral ba 10,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
sub gyrus 6,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
sub lobar,1,BG,Basal Ganglia,Subcortical Nuclei,0.3333,0.1667,3.0,4,9.0,18.32,16,6,0.1668
sub lobar,2,Tha,Thalamus,Subcortical Nuclei,0.2222,0.119,2.0,8,9.0,18.32,16,6,0.1668
sub lobar,3,INS,Insular Gyrus,Insular Lobe,0.1111,0.0714,1.0,4,9.0,18.32,16,6,0.1668
sub lobar,4,Hipp,Hippocampus,Subcortical Nuclei,0.1111,0.0714,1.0,1,9.0,18.32,16,6,0.1668
sub lobar,5,IPL,Inferior Parietal Lobule,Parietal Lobe,0.1111,0.0714,1.0,1,9.0,18.32,16,6,0.1668
sub lobar,6,STG,Superior Temporal Gyrus,Temporal Lobe,0.1111,0.0714,1.0,1,9.0,18.32,16,6,0.1668
sub lobar amygdala,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
sub lobar caudate,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subacc,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subcallosal cingulate,1,OrG,Orbital Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
subcallosal cortex,1,CG,Cingulate Gyrus,Limbic Lobe,0.6,0.2059,3.0,3,5.0,18.76,18,3,0.206
subcallosal cortex,2,BG,Basal Ganglia,Subcortical Nuclei,0.2,0.0882,1.0,1,5.0,18.76,18,3,0.206
subcallosal cortex,3,OrG,Orbital Gyrus,Frontal Lobe,0.2,0.0882,1.0,1,5.0,18.76,18,3,0.206
