lit_name,rank,bna_l2_abbr,bna_l2_name,bna_lobe,p_raw,p,n_papers,n_coords,k_papers,eff_n,n80,n_observed,top1_p
dlpfc ba 9,2,PrG,Precentral Gyrus,Frontal Lobe,0.2857,0.1316,2.0,2,7.0,16.75,17,3,0.2369
dlpfc ba 9,3,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.1429,0.0789,1.0,1,7.0,16.75,17,3,0.2369
dlpfc ba 9 46,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dlpfc ipl,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dlpfc lb,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dlpfc only,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dlpfc sphere,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dlpfca,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dlpfcb,1,MFG,Middle Frontal Gyrus,Frontal Lobe,0.5,0.1562,2.0,3,4.0,19.34,18,2,0.1564
dlpfcb,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1562,2.0,2,4.0,19.34,18,2,0.1564
dlpfcc,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dlpfcdamh,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dlprcs,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dmfc,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
dmpfc,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.8605,0.6818,37.0,66,43.0,4.56,4,4,0.6817
dmpfc,2,CG,Cingulate Gyrus,Limbic Lobe,0.093,0.0818,4.0,5,43.0,4.56,4,4,0.6817
dmpfc,3,MFG,Middle Frontal Gyrus,Frontal Lobe,0.0233,0.0273,1.0,2,43.0,4.56,4,4,0.6817
dmpfc,4,PrG,Precentral Gyrus,Frontal Lobe,0.0233,0.0273,1.0,1,43.0,4.56,4,4,0.6817
dmpfc 8,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dmpfc ba 32,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dmpfc ba 8,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
dmpfc bi,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dmpfc1,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dor lat frontal 9,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dor pcu,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal acc,1,CG,Cingulate Gyrus,Limbic Lobe,0.5625,0.3393,9.0,10,16.0,11.37,13,3,0.339
dorsal acc,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.25,0.1607,4.0,4,16.0,11.37,13,3,0.339
dorsal acc,3,BG,Basal Ganglia,Subcortical Nuclei,0.1875,0.125,3.0,4,16.0,11.37,13,3,0.339
dorsal acc 32,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal acc ba 24,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,4,1.0,22.91,19,1,0.1153
dorsal amcc,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal anterior cingulate,1,CG,Cingulate Gyrus,Limbic Lobe,0.6471,0.3966,11.0,15,17.0,9.4,13,2,0.397
dorsal anterior cingulate,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.3529,0.2241,6.0,6,17.0,9.4,13,2,0.397
dorsal anterior cingulate ba 24,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal anterior cingulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,0.6316,0.4032,12.0,18,19.0,9.71,12,3,0.4035
dorsal anterior cingulate cortex,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.2632,0.1774,5.0,6,19.0,9.71,12,3,0.4035
dorsal anterior cingulate cortex,3,BG,Basal Ganglia,Subcortical Nuclei,0.1053,0.0806,2.0,2,19.0,9.71,12,3,0.4035
dorsal anterior cingulate cortex 24 32,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal anterior cingulate gyrus,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal anterior insula,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1786,2.0,3,2.0,21.0,19,1,0.1787
dorsal caudate,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1786,2.0,4,2.0,21.0,19,1,0.1787
dorsal central sulcus,1,BG,Basal Ganglia,Subcortical Nuclei,0.3333,0.1,1.0,2,3.0,21.57,18,3,0.1001
dorsal central sulcus,2,PoG,Postcentral Gyrus,Parietal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
dorsal central sulcus,3,PrG,Precentral Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
dorsal cingulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal frontal cortex,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal frontomedian cortex,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal hippocampus,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal ifg,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,6,2.0,22.13,19,2,0.1071
dorsal ifg,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal inferior frontal g,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal inferior frontal gyrus,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal ips,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal lateral occipital cortex,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsal lateral pmc,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal lateral prefrontal cortex,1,MFG,Middle Frontal Gyrus,Frontal Lobe,0.75,0.2188,3.0,3,4.0,18.85,18,2,0.219
dorsal lateral prefrontal cortex,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.25,0.0938,1.0,1,4.0,18.85,18,2,0.219
dorsal lateral prefrontal cortex 46 10 9,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal lateral prefrontal cortex 46 9,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,5,1.0,22.91,19,1,0.1153
dorsal lateral prefrontal cortex 9,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal lateral prefrontal cortex 9 10,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal medial frontal cortex,1,Hipp,Hippocampus,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal medial frontal cortex,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal medial frontal g,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsal medial prefrontal cortex,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.8333,0.3056,5.0,5,6.0,15.79,17,2,0.3054
dorsal medial prefrontal cortex,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.1667,0.0833,1.0,2,6.0,15.79,17,2,0.3054
dorsal medial premotor cortex,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal mi,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal midbrain,1,BG,Basal Ganglia,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal midbrain,2,Tha,Thalamus,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal mpfc,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.2333,3.0,3,3.0,19.05,18,1,0.2335
dorsal occipital cortex,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsal part,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal pop,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,5,1.0,22.91,19,1,0.1153
dorsal portion of the anterior cingulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal portion of the anterior cingulate cortex,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal posterior cingulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1562,2.0,2,4.0,20.24,18,3,0.1564
dorsal posterior cingulate cortex,2,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.25,0.0938,1.0,1,4.0,20.24,18,3,0.1564
dorsal posterior cingulate cortex,3,Pcun,Precuneus,Parietal Lobe,0.25,0.0938,1.0,1,4.0,20.24,18,3,0.1564
dorsal posterior insula,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal precentral gyrus,1,PrG,Precentral Gyrus,Frontal Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
dorsal precentral gyrus,2,PoG,Postcentral Gyrus,Parietal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal precentral gyrus and sulcus,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,4,1.0,22.91,19,1,0.1153
dorsal precuneus,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsal prefrontal cortex,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
dorsal premotor,1,MFG,Middle Frontal Gyrus,Frontal Lobe,0.5,0.1562,2.0,4,4.0,20.24,18,3,0.1564
dorsal premotor,2,PrG,Precentral Gyrus,Frontal Lobe,0.25,0.0938,1.0,1,4.0,20.24,18,3,0.1564
dorsal premotor,3,SFG,Superior Frontal Gyrus,Frontal Lobe,0.25,0.0938,1.0,1,4.0,20.24,18,3,0.1564
dorsal premotor area,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsal premotor cortex,1,PrG,Precentral Gyrus,Frontal Lobe,0.5,0.2885,7.0,9,14.0,12.62,14,4,0.2887
dorsal premotor cortex,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.3571,0.2115,5.0,7,14.0,12.62,14,4,0.2887
dorsal premotor cortex,3,SFG,Superior Frontal Gyrus,Frontal Lobe,0.0714,0.0577,1.0,4,14.0,12.62,14,4,0.2887
dorsal premotor cortex,4,PoG,Postcentral Gyrus,Parietal Lobe,0.0714,0.0577,1.0,1,14.0,12.62,14,4,0.2887
dorsal sfg,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsal stream,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsal striatum,1,BG,Basal Ganglia,Subcortical Nuclei,0.875,0.375,7.0,10,8.0,13.34,16,2,0.375
dorsal striatum,2,Tha,Thalamus,Subcortical Nuclei,0.125,0.075,1.0,1,8.0,13.34,16,2,0.375
dorsal superior medial frontal gyrus,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,3,1.0,22.91,19,1,0.1153
dorsal thalamus,1,BG,Basal Ganglia,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsal thalamus,2,Tha,Thalamus,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dorsalateral prefrontal cortex,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorso lateral prefrontal cortex,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
dorso medial prefrontal cortex,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorso ventral pfc,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral frontal cortex,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral frontal gyrus,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
dorsolateral frontal gyrus,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
dorsolateral frontal gyrus,3,PrG,Precentral Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
dorsolateral pfc,1,MFG,Middle Frontal Gyrus,Frontal Lobe,0.6667,0.3542,8.0,10,12.0,12.96,15,4,0.3544
dorsolateral pfc,2,PrG,Precentral Gyrus,Frontal Lobe,0.1667,0.1042,2.0,2,12.0,12.96,15,4,0.3544
dorsolateral pfc,3,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.0833,0.0625,1.0,2,12.0,12.96,15,4,0.3544
dorsolateral pfc,4,SFG,Superior Frontal Gyrus,Frontal Lobe,0.0833,0.0625,1.0,1,12.0,12.96,15,4,0.3544
dorsolateral pfc ba 46,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
dorsolateral pfc ba 6 46,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral pfc ba 9,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsolateral prefontral cortex,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral prefronatl cortex,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral prefrontal,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsolateral prefrontal cortex,1,MFG,Middle Frontal Gyrus,Frontal Lobe,0.5722,0.5413,111.0,190,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.1443,0.1383,28.0,35,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,3,SFG,Superior Frontal Gyrus,Frontal Lobe,0.1289,0.1238,25.0,40,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,4,PrG,Precentral Gyrus,Frontal Lobe,0.1082,0.1044,21.0,28,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,5,BG,Basal Ganglia,Subcortical Nuclei,0.0155,0.017,3.0,3,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,6,INS,Insular Gyrus,Insular Lobe,0.0103,0.0121,2.0,2,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,7,CG,Cingulate Gyrus,Limbic Lobe,0.0052,0.0073,1.0,1,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,8,MTG,Middle Temporal Gyrus,Temporal Lobe,0.0052,0.0073,1.0,1,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,9,STG,Superior Temporal Gyrus,Temporal Lobe,0.0052,0.0073,1.0,1,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex,10,Tha,Thalamus,Subcortical Nuclei,0.0052,0.0073,1.0,1,194.0,4.8,3,10,0.5415
dorsolateral prefrontal cortex 46,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsolateral prefrontal cortex ba 10,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral prefrontal cortex ba 10 4,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral prefrontal cortex ba 9,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral prefrontal cortex5,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral prefrontal ctx,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral premotor cortex,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsolateral visual cortex 18,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsoloateral prefrontal cortex,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
dorsomedial frontal cortex,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.2333,3.0,3,3.0,19.05,18,1,0.2335
dorsomedial frontal gyrus,1,CG,Cingulate Gyrus,Limbic Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
dorsomedial frontal gyrus,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
dorsomedial frontal gyrus,3,SFG,Superior Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
dorsomedial pfc,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.2812,4.0,5,4.0,17.24,18,1,0.2815
dorsomedial prefrontal cortex,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.85,0.5469,17.0,27,20.0,7.66,12,3,0.5472
dorsomedial prefrontal cortex,2,BG,Basal Ganglia,Subcortical Nuclei,0.1,0.0781,2.0,2,20.0,7.66,12,3,0.5472
dorsomedial prefrontal cortex,3,CG,Cingulate Gyrus,Limbic Lobe,0.05,0.0469,1.0,2,20.0,7.66,12,3,0.5472
dorsomedial prefrontal cortex ba 8,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsomedial prefrontal cortex ba 9,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,4,1.0,22.91,19,1,0.1153
dorsomedial prefrontal gyrus,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dorsomedial thalamus,1,Tha,Thalamus,Subcortical Nuclei,1.0,0.2812,4.0,7,4.0,17.24,18,1,0.2815
dpcc,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dpcc ba 23,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.5,0.1071,1.0,5,2.0,22.13,19,2,0.1071
dpcc ba 23,2,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
dpins,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dpm,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
dpmc,1,PrG,Precentral Gyrus,Frontal Lobe,0.5,0.1944,3.0,6,6.0,18.0,17,3,0.1943
dpmc,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.3333,0.1389,2.0,4,6.0,18.0,17,3,0.1943
dpmc,3,SFG,Superior Frontal Gyrus,Frontal Lobe,0.1667,0.0833,1.0,1,6.0,18.0,17,3,0.1943
dpmc 6,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
e hippocampus,1,Hipp,Hippocampus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
early visual area,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
eba,1,ITG,Inferior Temporal Gyrus,Temporal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
eba,2,LOcC,lateral Occipital Cortex,Occipital Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
eba,3,MTG,Middle Temporal Gyrus,Temporal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
enthorinal cortex,1,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
entorhinal,1,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
entorhinal cortex,1,FuG,Fusiform Gyrus,Temporal Lobe,0.3333,0.1,1.0,2,3.0,21.57,18,3,0.1001
entorhinal cortex,2,PhG,Parahippocampal Gyrus,Temporal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
entorhinal cortex,3,STG,Superior Temporal Gyrus,Temporal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
entorhinal cortex 30,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
esc,1,LOcC,lateral Occipital Cortex,Occipital Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
esc,2,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
evc,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
executive network,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ext insula,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
external capsule,1,INS,Insular Gyrus,Insular Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
external capsule,2,Tha,Thalamus,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
extra nuclear,1,INS,Insular Gyrus,Insular Lobe,0.4286,0.1842,3.0,3,7.0,17.38,17,3,0.1843
extra nuclear,2,BG,Basal Ganglia,Subcortical Nuclei,0.2857,0.1316,2.0,3,7.0,17.38,17,3,0.1843
extra nuclear,3,Tha,Thalamus,Subcortical Nuclei,0.2857,0.1316,2.0,3,7.0,17.38,17,3,0.1843
extra striate cortex,1,FuG,Fusiform Gyrus,Temporal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
extra striate cortex,2,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
extrastriate,1,LOcC,lateral Occipital Cortex,Occipital Lobe,0.5,0.1071,1.0,3,2.0,22.13,19,2,0.1071
extrastriate,2,FuG,Fusiform Gyrus,Temporal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
extrastriate body area,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
extrastriate cortex,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
extrastriate cortex,2,IPL,Inferior Parietal Lobule,Parietal Lobe,0.3333,0.1,1.0,1,3.0,20.55,18,2,0.1668
extrastriate vis cortex ba 18,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
extrastriate vis cortex ba 19,1,LOcC,lateral Occipital Cortex,Occipital Lobe,0.3333,0.1,1.0,3,3.0,21.57,18,3,0.1001
extrastriate vis cortex ba 19,2,FuG,Fusiform Gyrus,Temporal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
extrastriate vis cortex ba 19,3,IPL,Inferior Parietal Lobule,Parietal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
extrastriate visual cortex,1,LOcC,lateral Occipital Cortex,Occipital Lobe,0.6667,0.1667,2.0,3,3.0,20.55,18,2,0.1668
extrastriate visual cortex,2,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.3333,0.1,1.0,1,3.0,20.55,18,2,0.1668
f middle gyrus,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
f middle temporal gyrus,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
f sup gyrus,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,4,2.0,22.13,19,2,0.1071
f sup gyrus,2,MFG,Middle Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
f3o,1,OrG,Orbital Gyrus,Frontal Lobe,0.3333,0.1,1.0,3,3.0,21.57,18,3,0.1001
f3o,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
f3o,3,INS,Insular Gyrus,Insular Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
