dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
species,A13 dopamine cell group,needs_review,0.776304,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A13 dopamine cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.543902,D_homba_gap,HOMBA lacks this granularity
species,Mesencephalic Reticular Formation,needs_review,0.777459,HOMBA:15547,isthmic reticular formation,bm25+fuzzy,Mesencephalic Reticular Formation,isthmic reticular formation,reticular,1.0,medullary reticular formation in  medulla oblongata,0.764278,A_effectively_correct,synonym/parent match (review-only flag)
species,"Cerebellum, unspecified",needs_review,0.778409,HOMBA:10656,cerebellum,bm25+fuzzy,"Cerebellum, unspecified",cerebellum,,1.0,paravermis of cerebellar hemisphere,0.290471,A_effectively_correct,synonym/parent match (review-only flag)
species,"Anterior commissure, posterior limb",needs_review,0.778847,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),bm25+fuzzy,"Anterior commissure, posterior limb",interstitial nucleus of posterior limb of anterior commissure,posterior;limb,1.0,caudal limb of internal capsule,0.391264,A_effectively_correct,synonym/parent match (review-only flag)
species,Spinal Trigeminal Nucleus Intermediate,needs_review,0.7809,HOMBA:12436,afferent nuclei of cranial nerves in pons,hierarchy_parent,Spinal Trigeminal Nucleus Intermediate,afferent nuclei of cranial nerves in pons,,1.0,spinal trigeminal nucleus,0.75465,B_algo,hierarchy_parent over-promotion
species,Ventral periolivary nuclei,needs_review,0.78137,HOMBA:12568,"solitary nucleus, ventral division",bm25+fuzzy,ventral periolivary nucleus,ventral part solitary nucleus,ventral,1.0,periolivary nuclei,0.753867,A_effectively_correct,synonym/parent match (review-only flag)
species,Stria medullaris,needs_review,0.782738,HOMBA:10590,stria medullaris of thalamus,bm25+fuzzy,Stria medullaris,stria medullaris of thalamus,,1.0,stria terminalis,0.261738,A_effectively_correct,synonym/parent match (review-only flag)
species,Arcuate nucleus,needs_review,0.786859,HOMBA:12536,arcuate nucleus of medulla oblongata,bm25+fuzzy,Arcuate nucleus,arcuate nucleus of medulla,,1.0,arcuate nucleus of hypothalamus,0.71707,A_effectively_correct,synonym/parent match (review-only flag)
species,"Parietal association cortex, posterior area",needs_review,0.787578,HOMBA:10214,posterior parietal cortex,bm25+fuzzy,"Parietal association cortex, posterior area",posterior parietal cortex,posterior,1.0,posterior limiting parietal cortex,0.711256,A_effectively_correct,synonym/parent match (review-only flag)
species,Optic tract/chiasma,needs_review,0.788377,HOMBA:10589,optic tract,bm25+fuzzy,Optic tract/chiasma,optic tract,,1.0,optic chiasm,0.542626,C_dict,compound; chiasma -> chiasm
species,Posterior Commissural Nuclei,needs_review,0.788483,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),bm25+fuzzy,Posterior Commissural Nuclei,nuclei of posterior commissure,posterior,1.0,posterior (caudal) cortical nucleus of amygdala,0.782298,A_effectively_correct,synonym/parent match (review-only flag)
species,Cerebellar Lobule 10 Vermis,needs_review,0.792065,HOMBA:AA30563,cerebellar morphology,bm25+hierarchy_parent,Cerebellar Lobule 10 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.712065,D_homba_gap,HOMBA lacks this granularity
species,Commissural stria terminalis,needs_review,0.795711,HOMBA:AA30882,commissural branch of stria terminalis,bm25+fuzzy,Commissural stria terminalis,commissural branch of stria terminalis,,1.0,stria terminalis,0.782738,A_effectively_correct,synonym/parent match (review-only flag)
species,"Frontal orbital cortex, anterior",needs_review,0.798344,HOMBA:10161,frontal cortex,bm25+hierarchy_parent,"Frontal orbital cortex, anterior",frontal cortex,,1.0,orbital frontal cortex,0.725347,A_effectively_correct,synonym/parent match (review-only flag)
species,Cerebellar Lobule 1 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+fuzzy+hierarchy_parent,Cerebellar Lobule 1 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 2 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+fuzzy+hierarchy_parent,Cerebellar Lobule 2 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 3 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+hierarchy_parent,Cerebellar Lobule 3 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 4 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+fuzzy+hierarchy_parent,Cerebellar Lobule 4 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 5 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+fuzzy+hierarchy_parent,Cerebellar Lobule 5 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 6 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+fuzzy+hierarchy_parent,Cerebellar Lobule 6 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 7 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+fuzzy+hierarchy_parent,Cerebellar Lobule 7 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 8 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+fuzzy+hierarchy_parent,Cerebellar Lobule 8 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 9 Vermis,needs_review,0.798634,HOMBA:AA30563,cerebellar morphology,bm25+fuzzy+hierarchy_parent,Cerebellar Lobule 9 Vermis,cerebellar morphology,,1.0,cerebellar vermis,0.718634,D_homba_gap,HOMBA lacks this granularity
species,Transverse fibers of the pons,needs_review,0.80058,HOMBA:12795,transverse fibers of pons (pontine crossing tract),bm25+fuzzy,Transverse fibers of the pons,transverse fibers of pons,,1.0,transverse fibers,0.793822,A_effectively_correct,synonym/parent match (review-only flag)
species,Cuneate Gracile Nuclei,needs_review,0.805236,HOMBA:12587,sensory relay nuclei in medulla oblongata,hierarchy_parent,Cuneate Gracile Nuclei,sensory relay nuclei in medulla oblongata,,1.0,gracile nucleus,0.725236,A_effectively_correct,synonym/parent match (review-only flag)
species,Medial Raphe,needs_review,0.8075,HOMBA:12402,fastigial (medial) nucleus,bm25+fuzzy,Medial Raphe,medial,medial,1.0,medial (magnocellular) division of MD,0.8075,B_algo,weak/lone-token fuzzy trap
species,Locus-coeruleus Region,needs_review,0.8084,HOMBA:12499,nucleus coeruleus (locus coeruleus),bm25+fuzzy,Locus-coeruleus Region,locus coeruleus,,1.0,,,C_dict,locus coeruleus region -> nucleus coeruleus
species,Dorsal Lateral Leminscus Nucleus,needs_review,0.81101,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),bm25+fuzzy,Dorsal Lateral Leminscus Nucleus,dorsal lateral geniculate nucleus,dorsal;lateral,1.0,dorsal nucleus of lateral lemniscus,0.794715,C_dict,Leminscus -> lemniscus; dorsal nucleus of lateral lemniscus
species,4th ventricle,needs_review,0.815,HOMBA:AA30475,olfactory recess (ventricle) and ependyma,bm25+fuzzy,4th ventricle,ventricle,,1.0,fourth ventricle,0.617966,A_effectively_correct,synonym/parent match (review-only flag)
species,Preoptic area,needs_review,0.815,HOMBA:10468,preoptic region of HTH,bm25+fuzzy+hierarchy_parent,preoptic region,preoptic region of HTH,,1.0,medial preoptic area,0.7009,A_effectively_correct,synonym/parent match (review-only flag)
species,Retroreuniens thalamic nucleus,needs_review,0.815,HOMBA:10403,reuniens (medioventral) nucleus of thalamus,bm25+fuzzy,Retroreuniens thalamic nucleus,reuniens thalamic nucleus,,1.0,ventral midline nuclei of thalamus,0.7697,C_dict,reuniens word-order; reuniens nucleus of thalamus
species,Medullar Reticular Nucleus,needs_review,0.816244,HOMBA:12640,"medullary reticular nucleus, ventral division (medial reticular nucleus)",bm25+fuzzy,Medullar Reticular Nucleus,medial reticular nucleus,reticular,1.0,parvicellular reticular nucleus,0.784446,A_effectively_correct,synonym/parent match (review-only flag)
species,Retrosplenial granular area,needs_review,0.816308,HOMBA:10325,"granular retrosplenial cortex (area 29, RSg)",bm25+fuzzy,Retrosplenial granular area,granular retrosplenial cortex,granular,1.0,"agranular retrosplenial cortex (area 30, RSag)",0.354871,A_effectively_correct,synonym/parent match (review-only flag)
species,"Basal forebrain region, unspecified",needs_review,0.8171,HOMBA:10349,basal forebrain,bm25+fuzzy+hierarchy_parent,"Basal forebrain region, unspecified",basal forebrain,,1.0,regions of basal forebrain,0.7371,A_effectively_correct,synonym/parent match (review-only flag)
species,"Medial geniculate body, marginal zone",needs_review,0.81798,HOMBA:266441523,marginal zone of medial geniculate nucleus,bm25+fuzzy,"Medial geniculate body, marginal zone",marginal zone of medial geniculate nucleus,medial,1.0,medial division of medial geniculate nucleus,0.390675,A_effectively_correct,synonym/parent match (review-only flag)
species,Medial geniculate complex (marginal zone),needs_review,0.818624,HOMBA:266441523,marginal zone of medial geniculate nucleus,bm25+fuzzy,Medial geniculate complex (marginal zone),marginal zone of medial geniculate nucleus,marginal;zone;marginal zone;medial,1.0,medial geniculate nuclear complex,0.770834,A_effectively_correct,synonym/parent match (review-only flag)
species,Abducens Motor Nucleus,needs_review,0.819332,HOMBA:12417,efferent nuclei of cranial nerves in pons,hierarchy_parent,Abducens Motor Nucleus,efferent nuclei of cranial nerves in pons,,1.0,abducens nucleus,0.739332,B_algo,hierarchy_parent over-promotion
