lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
parahippocampal gyrus 30,2,Hipp_L(R)_2_2,cHipp,caudal hippocampus,Hipp,217,218,1,1,0.2308,0.5,0.07692,2,9
parahippocampal gyrus 34,1,BG_L(R)_6_2,GP,globus pallidus,BG,221,222,1,1,0.375,1.0,0.125,1,6
parahippocampal gyrus 35,1,Hipp_L(R)_2_2,cHipp,caudal hippocampus,Hipp,217,218,1,1,0.75,1.0,0.25,1,2
parahippocampal gyrus 36,1,MVOcC_L(R)_5_4,rLinG,rostral lingual gyrus,MVOcC,195,196,1,2,0.0857,0.2,0.02857,5,25
parahippocampal gyrus 36,2,BG_L(R)_6_4,vmPu,ventromedial putamen,BG,225,226,1,1,0.0857,0.2,0.02857,5,25
parahippocampal gyrus 36,3,PhG_L(R)_6_3,TL,area TL (lateral PPHC),PhG,113,114,1,1,0.0857,0.2,0.02857,5,25
parahippocampal gyrus 36,4,PhG_L(R)_6_6,TH,area TH (medial PPHC),PhG,119,120,1,1,0.0857,0.2,0.02857,5,25
parahippocampal gyrus 36,5,Tha_L(R)_8_5,PPtha,posterior parietal thalamus,Tha,239,240,1,1,0.0857,0.2,0.02857,5,25
parahippocampal gyrus 37 36,1,FuG_L(R)_3_1,A20rv,rostroventral area 20,FuG,103,104,1,1,0.6,1.0,0.2,1,3
parahippocampal gyrus 38,1,BG_L(R)_6_2,GP,globus pallidus,BG,221,222,1,1,0.375,1.0,0.125,1,6
parahippocampal gyrus amygdala,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,1,1,0.75,1.0,0.25,1,2
parahippocampal gyrus ba 19,1,Hipp_L(R)_2_2,cHipp,caudal hippocampus,Hipp,217,218,2,2,0.8333,1.0,0.16667,2,2
parahippocampal gyrus ba 20,1,PhG_L(R)_6_1,A35/36r,rostral area 35/36,PhG,109,110,1,1,0.375,1.0,0.125,1,6
parahippocampal gyrus ba 27,1,Tha_L(R)_8_5,PPtha,posterior parietal thalamus,Tha,239,240,1,1,0.3,1.0,0.1,1,8
parahippocampal gyrus ba 28,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,2,2,0.3125,0.5,0.0625,4,8
parahippocampal gyrus ba 28,2,PhG_L(R)_6_4,A28/34,area 28/34 (EC),PhG,115,116,1,2,0.1875,0.25,0.0625,4,8
parahippocampal gyrus ba 28,3,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),PhG,117,118,1,1,0.1875,0.25,0.0625,4,8
parahippocampal gyrus ba 34,1,PhG_L(R)_6_2,A35/36c,caudal area 35/36,PhG,111,112,1,1,0.375,1.0,0.125,1,6
parahippocampal gyrus ba 35,1,CG_L(R)_7_4,A23v,ventral area 23,CG,181,182,1,1,0.1765,0.5,0.05882,2,13
parahippocampal gyrus ba 35,2,PhG_L(R)_6_2,A35/36c,caudal area 35/36,PhG,111,112,1,1,0.1765,0.5,0.05882,2,13
parahippocampal gyrus ba 35 36,1,PhG_L(R)_6_6,TH,area TH (medial PPHC),PhG,119,120,1,1,0.375,1.0,0.125,1,6
parahippocampal gyrus ba 36,1,Hipp_L(R)_2_2,cHipp,caudal hippocampus,Hipp,217,218,3,4,0.2333,0.4286,0.03333,7,16
parahippocampal gyrus ba 36,2,MVOcC_L(R)_5_4,rLinG,rostral lingual gyrus,MVOcC,195,196,1,2,0.1,0.1429,0.03333,7,16
