name_core,alias_core,n_papers,n_rows
ifg,pars tri,1,1
ifg,triangularis,1,1
ifg 45,p triangularis,1,1
inf f g,opercular,1,2
inf fronal orb,fi,1,1
inf front,op,1,1
inf front,orb,1,1
inf front,tri,1,2
inf frontal gyr p orbitalis,ifgo,1,1
inf frontal gyr p triangularis,ifgt,1,1
inf frontal gyrus,oper,1,1
fusiform gyrus,o4,1,1
inf frontal orb,fi,1,2
inf temporal sulc,its,1,1
inferior frontal,operculum,1,2
inferior frontal,trigone,1,1
inferior frontal cortex,pars triangularis ba 47,1,1
inferior frontal g,triangularis,1,1
inferior frontal gyrus,47,1,1
inferior frontal gyrus,area 45,1,1
inferior frontal gyrus,brocas area,1,1
inferior frontal gyrus,brodmann area 46,1,1
inferior frontal gyrus,frontal inf tri,1,1
inf frontal gyrus,tri,1,1
fusiform gyrus,occipital lobe,1,2
fusiform gyrus,temporal lobe,1,1
gyrus rectus,orbitofrontal,1,1
hc,lhc,1,3
hc,rhc,1,3
heschl,wb,1,1
heschl gyrus,lockwood et al,1,1
heschls gyrus,hg,1,2
heschls gyrus,te 1 1,1,1
hippocampus,ca sub,1,2
hippocampus,cornu ammonis,1,1
ifg,pars opercularis,1,2
hippocampus,hipp,1,1
hippocampus,hpc,1,1
hippocampus,para,1,1
hippocampus,posterior,1,1
hippocampus,roi,1,1
hippocampus,temporal lobe,1,1
hoc4v,extrastriate visual cortex,1,1
ifg,opercularis,1,1
ifg,p oper,1,3
ifg,p opercularis ba 44,1,2
ifg,p triangularis ba 45,1,2
hippocampus,hf,1,1
amygdala,amygdala,1,1
amygdala,amyl,1,1
anterior cingulate cortex,lobe,1,1
anterior cingulate cortex,posterior supracallosal,1,1
anterior cingulate cortex,supracallosal,1,1
anterior cingulate gyrus,acc,1,1
anterior cingulate gyrus,dorsolateral,1,1
anterior cingulate gyrus,rostral,1,1
amygdaloid complex,centro mesial nucleus,1,2
anterior cingulated gyrus,acg,1,1
anterior insula,ai,1,1
culmen,cerebellum,1,1
anterior medial pfc,ampfc,1,1
anterior median prefrontal cortex,ampfc,1,2
anterior occipital sulcus,hoc5,1,1
anterior pfc,ba 10,1,1
anterior prefrontal cortex,apfc,1,1
anterior supramarginal gyrus,asmg,1,3
anterior to mid intraparietal sulcus,amips,1,1
anterior vlpfc,sfg ba 10,1,1
area tringularis,ifg,1,1
ba 22,auditory,1,1
ba 22 2,auditory,1,1
anterior intraparietal sulcus,aips,1,2
angular g,angular roi,1,1
angular g,area pgp,1,2
angular gyrus,ag,1,1
angular gyrus,angular,1,1
angular gyrus,cl,1,1
angular gyrus,hip3,1,1
angular gyrus,il,1,1
angular gyrus,pfm,1,1
angular gyrus,tpj,1,1
anterior cingulate,acc,1,1
anterior cingulate and supplementary motor cortex,acc sma,1,1
amygdala,amg,1,1
v1,posterior calcarine,1,1
thalamus,vpl,1,1
anterior cingulate gyrus,wm,1,1
vmpfc ba 10,superior frontal gyrus,1,2
,anterior,1,1
,pulvinar vln,1,1
,putamen,1,1
,subcortical,1,1
acc,limbic,1,1
aipl,smg,1,1
amyg,fat thin,1,1
caudal supplementary motor area,csma,1,1
cerebellum,crus ii,1,4
cerebellum,ix tonsil,1,1
cerebellum,lobule 6,1,1
cerebellum,lobule iv v vi,1,1
cerebellum,lobule vi,1,1
cerebellum,posterior lobe declive,1,1
cerebellum,th,1,1
cerebellum posterior lobe,vi,1,1
cerebelum,vi,1,1
cingulate gyrus,anterior,1,1
cingulate gyrus,anterior division,1,1
ba 43,somatosensory gustatory,1,1
cingulate gyrus,mid,1,2
cingulate gyrus,middle part,1,1
cingulate gyrus,posterior division,1,1
cingulate motor area,cma,1,1
cingulate sulcus,csv,1,1
cingulum,hippocampus,1,2
cmiddle frontal gyrus,lateral,1,1
cn,head,1,1
cruz ii,lateral cerebellum,1,2
culmen,anterior,1,1
culmen,anterior lobe,1,1
cingulate gyrus,il,1,1
ba 43 2,somatosensory gustatory,1,1
ba 46,inferior frontal p t,1,3
basal ganglia,caudate ncl,1,1
calcarine,wb,1,1
