lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
rtpj,U,5,5,0.0,
medial frontal cortex,U,5,7,0.2857,
mofc,U,5,10,0.6,
motor cortex,R,5,8,0.125,0.875
motor cortex,L,5,9,0.8889,0.8889
aips,U,5,10,0.6,
anterior cingulate cortex,B,5,7,0.2857,
inferior parietal gyrus,R,5,6,0.0,1.0
parietal,L,5,10,1.0,1.0
supra marginal gyrus,U,5,5,0.6,
temporal cortex,U,5,10,0.8,
supramarginal gyrus 40,U,5,7,0.7143,
supramarginal gyrus ba 40,U,5,6,0.1667,
supramarginal gyrus ba 40,R,5,5,0.0,1.0
middle occipital gyrus ba 18,L,5,8,1.0,1.0
middle occipital gyrus ba 19,R,5,6,0.0,1.0
orbitofrontal,U,5,12,0.5,
primary motor cortex,R,5,5,0.2,0.8
pars opercularis,R,5,8,0.0,1.0
parieto occipital sulcus,U,5,7,0.7143,
anterior cingulum,U,5,8,0.625,
declive,L,5,7,0.8571,0.8571
ba 6,U,5,31,0.5806,
lingual gyrus ba 18,L,5,6,1.0,1.0
medial frontal gyrus ba 6,R,5,5,0.2,0.8
medial frontal gyrus ba 6,U,5,9,0.5556,
superior temporal gyrus ba 39,L,5,5,1.0,1.0
calcarine cortex,R,5,9,0.0,1.0
frontal eye field,R,5,8,0.0,1.0
inferior temporal,L,5,10,1.0,1.0
superior temporal,L,5,7,1.0,1.0
inferior parietal lobule 40,U,5,14,0.4286,
frontal cortex,R,5,5,0.0,1.0
frontal gyrus,U,5,17,0.7059,
middle frontal cortex,R,5,6,0.1667,0.8333
middle frontal cortex,U,5,8,0.25,
dacc,R,5,9,0.3333,0.6667
middle frontal gyrus 6,R,5,7,0.0,1.0
lateral prefrontal cortex,U,5,6,0.3333,
caudate head,L,5,6,1.0,1.0
culmen,L,5,6,1.0,1.0
pons,U,5,8,0.75,
ins,U,5,11,0.3636,
frontal inf tri,R,5,6,0.0,1.0
pcg,U,5,7,0.2857,
pmv,U,5,10,0.6,
pmd,L,5,11,1.0,1.0
insula 13,U,5,7,0.5714,
ins,L,5,7,1.0,1.0
ins,R,5,9,0.0,1.0
pcu,U,5,7,0.4286,
pars orbitalis,U,5,7,0.8571,
middle frontal gyrus ba 10,R,5,6,0.0,1.0
middle occipital cortex,U,5,11,0.6364,
superior and middle frontal gyrus,U,5,5,0.4,
superior parietal gyrus,L,5,7,0.8571,0.8571
superior parietal lobule ba 7,L,5,5,1.0,1.0
frontal sup medial,L,5,6,0.5,0.5
pre central gyrus,L,5,7,0.8571,0.8571
middle,U,5,45,0.5333,
superior frontal gyrus ba 9,R,5,9,0.0,1.0
middle cingulum,R,5,6,0.1667,0.8333
superior parietal cortex,L,5,13,0.9231,0.9231
cingulum,U,5,6,0.6667,
posterior cingulum,U,5,5,0.8,
cingulum ant,L,5,8,1.0,1.0
medial superior frontal gyrus,R,5,6,0.0,1.0
medial superior frontal gyrus,L,5,7,0.8571,0.8571
precuneus 7,L,5,6,1.0,1.0
precuneus 7,R,5,6,0.0,1.0
superior frontal gyrus 9,U,5,6,0.6667,
superior frontal gyrus,B,5,6,0.3333,
superior frontal gyrus 6,R,5,6,0.0,1.0
fusiform gyrus 37,U,5,7,0.8571,
ba 10,U,5,17,0.2941,
mid frontal gyrus,U,5,15,0.7333,
sup frontal gyrus,U,5,12,0.5833,
auditory cortex,L,5,9,0.8889,0.8889
sup temporal,L,5,7,1.0,1.0
mid orbital gyrus,U,5,8,0.5,
precentral sulcus,U,5,5,0.6,
superior frontal sulcus,L,5,5,1.0,1.0
inf frontal gyrus,U,5,8,0.5,
superior frontal gyrus ba 8,R,5,6,0.0,1.0
superior frontal gyrus ba 6,U,5,8,0.75,
precentral g,R,5,5,0.0,1.0
middle temporal gyrus 21,L,5,9,1.0,1.0
middle temporal gyrus ba 21,L,5,5,1.0,1.0
thalamus,B,5,7,0.4286,
cerebellum 6,U,5,7,0.8571,
anterior cingulate,B,5,5,0.6,
inferior frontal gyrus ba 9,U,5,5,0.6,
inferior frontal gyrus ba 47,L,5,8,1.0,1.0
ventral premotor cortex,L,5,8,1.0,1.0
inferior frontal operculum,R,5,9,0.0,1.0
inferior frontal gyrus 45,U,5,6,0.3333,
inferior frontal gyrus ba 45,L,5,6,1.0,1.0
inferior frontal gyrus 47,U,5,5,0.6,
amygdaloid complex,R,4,10,0.0,1.0
amygdaloid complex,L,4,10,1.0,1.0
temporal sup,L,4,7,1.0,1.0
visual cortex,L,4,9,0.8889,0.8889
mtg 21,U,4,11,0.6364,
msfg,U,4,6,0.5,
dorsomedial pfc,U,4,5,0.6,
anterior,U,4,10,0.5,
anterior cingulate ba 32,R,4,4,0.0,1.0
inferior lateral occipital cortex,U,4,6,0.5,
inferior frontal gyrus pars triangularis,U,4,6,0.3333,
sma ba 6,U,4,12,0.5,
parahippocampal,L,4,5,1.0,1.0
paracentral,U,4,5,0.6,
paracentral,L,4,5,0.6,0.6
parietal,R,4,4,0.25,0.75
mid occipital,L,4,7,1.0,1.0
mid occipital,R,4,4,0.0,1.0
sup frontal gyrus,R,4,6,0.0,1.0
sup frontal,L,4,9,1.0,1.0
superior,U,4,33,0.5455,
mid occipital gyrus,R,4,6,0.0,1.0
ventrolateral pfc,U,4,5,0.4,
ains,U,4,6,0.1667,
middle temporal g,U,4,14,0.7857,
occipital fusiform gyrus,L,4,7,1.0,1.0
medial,U,4,9,0.7778,
ventral premotor cortex,U,4,7,0.7143,
middle sts,U,4,6,0.6667,
orbital gyrus,R,4,4,0.0,1.0
middle occipital g,U,4,13,0.7692,
parahippocampa gyrus,L,4,4,1.0,1.0
paracingulate gyrus,L,4,6,1.0,1.0
rectal gyrus,U,4,6,0.5,
rectus gyrus,U,4,7,0.7143,
middle occipital,R,4,4,0.0,1.0
frontal eye field,L,4,4,1.0,1.0
parahippocampa gyrus,R,4,6,0.0,1.0
pulvinar,R,4,4,0.0,1.0
mfc,U,4,5,0.8,
fusiform g,U,4,13,0.6154,
superior frontal gyrus ba 8,L,4,4,1.0,1.0
ifj,L,4,6,1.0,1.0
precuneous cortex,U,4,5,0.6,
median cingulate gyrus,L,4,6,1.0,1.0
lateral orbital gyrus,U,4,5,0.6,
precentral gyrus 4,L,4,6,1.0,1.0
precentral gyrus 4,U,4,4,0.75,
precentral gyrus 6,L,4,7,1.0,1.0
precentral gyrus 6,R,4,6,0.0,1.0
lateral globus pallidus,U,4,5,0.4,
lateral ofc,R,4,6,0.0,1.0
sma ba 6,L,4,4,1.0,1.0
medial frontal gyrus,B,4,4,0.5,
