lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
inferior parietal lobuls,L,1,1,1.0,1.0
inferior parietal supramarginal gyrus,U,1,2,1.0,
inferior parietallobule,L,1,1,1.0,1.0
inferior pars opercularis,R,1,1,0.0,1.0
inferior part of the precentral sulcus,U,1,2,1.0,
inferior pfc,U,1,1,1.0,
inferior pre frontal,L,1,1,1.0,1.0
inferior pre frontal,R,1,1,0.0,1.0
inferior temporal pole ba 20 38,L,1,3,1.0,1.0
inferior temporal region,U,1,1,1.0,
inferior temporal sulcus,R,1,2,0.0,1.0
inferior temporal sulcus ba 20 21 37,L,1,3,1.0,1.0
inferior temporalgyrus,L,1,1,1.0,1.0
inferior tempotal gyrus,L,1,1,1.0,1.0
inferior tempotal gyrus,R,1,1,0.0,1.0
inferior tri frontal,L,1,1,1.0,1.0
inferior temporal gyrus ba 37,L,1,1,1.0,1.0
inferior temporal gyrus ba 37,R,1,1,0.0,1.0
inferior temporal lobe,R,1,1,0.0,1.0
inferior temporal lobe,U,1,2,0.5,
inferior temporal lobe 20,L,1,1,1.0,1.0
inferior temporal lobea,R,1,1,0.0,1.0
inferior temporal lobule,R,1,1,0.0,1.0
inferior temporal neocortex,L,1,1,1.0,1.0
inferior temporal ba 20,R,1,2,0.0,1.0
inferior temporal g,L,1,1,1.0,1.0
inferior temporal gyrus,B,1,1,1.0,
inferior temporal gyrus 21,R,1,1,0.0,1.0
inferior temporal gyrus 37,L,1,2,1.0,1.0
inferior temporal gyrus and lateral occipital cortex,L,1,2,1.0,1.0
inferior temporal gyrus ba 20 21,L,1,1,1.0,1.0
inferior temporal gyrus ba 21,R,1,1,0.0,1.0
inf temporal lobule,U,1,1,1.0,
inf temporal sulc,U,1,1,1.0,
inf tp resected area,L,1,1,1.0,1.0
inf tp resected area,R,1,2,0.0,1.0
infer frontal gyrus,U,1,1,1.0,
inferioir frontal gyrus,L,1,1,1.0,1.0
inferior temporal area,L,1,1,1.0,1.0
inferior temporal ba 20,L,1,2,1.0,1.0
inf loc,U,1,1,0.0,
inf occ,U,1,3,0.6667,
inf occipit,L,1,1,1.0,1.0
inf occipital,U,1,1,1.0,
inf occipital g,R,1,1,0.0,1.0
inf occipital gyrus ba 18,R,1,2,0.0,1.0
inf occipital gyrus ba 18,U,1,1,1.0,
inf occipital lobe,L,1,1,1.0,1.0
inf frontal oper,L,1,1,1.0,1.0
inf frontal oper,R,1,1,0.0,1.0
inf frontal orb,L,1,3,1.0,1.0
inf frontal tri,L,1,2,1.0,1.0
inf frontal tri,R,1,1,0.0,1.0
inf frontal tri gyrus,U,1,1,1.0,
inf insula,U,1,1,1.0,
inf lateral occipital cortex,U,1,1,1.0,
infr parietal lobule,U,1,1,0.0,
inrerior frontal gyrus,U,1,1,0.0,
ins 13,U,1,3,0.6667,
ins ba 13,L,1,3,1.0,1.0
ins ba 13,R,1,1,0.0,1.0
insp,L,1,1,1.0,1.0
insp,R,1,1,0.0,1.0
insual,R,1,1,0.0,1.0
inferior ventral premotor cortex,R,1,1,0.0,1.0
inferiro occipital gyrus,L,1,1,1.0,1.0
infero lateral occipital cortex,L,1,1,1.0,1.0
infero lateral occipital cortex,R,1,2,0.0,1.0
inferolateral occipital,R,1,1,0.0,1.0
inferomedial temporal gyrus,U,1,1,1.0,
inferor temporal gyrus,L,1,1,1.0,1.0
inferotemporal cortex area te,L,1,1,1.0,1.0
insular and central opercular cortex,U,1,1,0.0,
insular c,U,1,1,0.0,
insular cortex ba 13,U,1,3,0.3333,
insular cortexa,U,1,1,1.0,
insular cortexb,U,1,1,0.0,
insular gyrus,U,1,8,0.625,
insular sub lobar,U,1,9,1.0,
insulo opercular region,U,1,1,1.0,
insula cortex,U,1,6,0.3333,
insula posterior,U,1,2,0.5,
insula1,R,1,1,0.0,1.0
insulaa,U,1,3,0.6667,
insulab,U,1,1,0.0,
insulah,U,1,1,0.0,
insulam,U,1,1,0.0,
insular,R,1,1,0.0,1.0
inf parietal gyrus,L,1,1,1.0,1.0
insula 1997,U,1,1,1.0,
insula 47,U,1,1,0.0,
insula anterior,U,1,10,0.5,
insula ba 13 include putamen,R,1,1,0.0,1.0
insula ba 41 42,L,1,1,1.0,1.0
insula ba 48,U,1,1,1.0,
insula cluster 2,L,1,1,1.0,1.0
inf occipito temporal,R,1,1,0.0,1.0
inf og,U,1,1,1.0,
inf par,L,1,1,1.0,1.0
inf par,U,1,2,1.0,
inf par lob,R,1,1,0.0,1.0
inf par lobule,U,1,1,0.0,
inf par lobulek,U,1,1,0.0,
inf parietal,U,1,1,1.0,
ipcs,U,1,1,1.0,
ipcundamh,U,1,1,0.0,
ipl 40,L,1,1,1.0,1.0
ipl and,L,1,1,1.0,1.0
ipl ba 39,R,1,1,0.0,1.0
ipl ba 40,R,1,1,0.0,1.0
ips anterior,U,1,6,1.0,
ips ba 7,L,1,1,1.0,1.0
intraparietal sulcusa,L,1,1,1.0,1.0
intraparietal sulcusa,R,1,2,0.0,1.0
intraparietal transverseoccipital,U,1,1,1.0,
intraprietal sulcus,L,1,1,1.0,1.0
intraprietal sulcus,R,1,1,0.0,1.0
ioc,U,1,4,0.25,
ipc 1,L,1,1,1.0,1.0
ipcdamh,U,1,2,1.0,
intraparietal cortex,U,1,1,1.0,
intraparietal lobule,U,1,2,0.5,
intraparietal sulcus 1,U,1,1,0.0,
intraparietal sulcus and transverse parietal sulcus,U,1,3,1.0,
intraparietal sulcus ba 39,U,1,1,1.0,
intraparietal sulcus ba 40,R,1,1,0.0,1.0
intraparietal sulcus ba 7,L,1,3,1.0,1.0
intraparietal sulcus ba 7,U,1,1,1.0,
internal globus pallidus,U,1,1,1.0,
intra occipital sulcus,U,1,1,1.0,
intracalcarine sulcus,U,1,2,0.5,
intracalcerine cortex,L,1,1,1.0,1.0
intracalcerine cortex,R,1,1,0.0,1.0
intraoccipital sulcus,L,1,1,1.0,1.0
intrapaprietal sulcus,R,1,1,0.0,1.0
intraparietal cortex,L,1,2,1.0,1.0
inf front orb,L,1,1,1.0,1.0
inf front tri,L,1,1,1.0,1.0
inf frontal g,L,1,1,1.0,1.0
inf frontal g,U,1,1,0.0,
inf frontal gyr p orbitalis,U,1,1,1.0,
inf frontal gyr p triangularis,U,1,1,1.0,
inf frontal gyrus,R,1,1,0.0,1.0
inf frontal gyrus ba 47,L,1,4,1.0,1.0
inf f,R,1,1,0.0,1.0
inf f g,R,1,2,0.0,1.0
inf fr gy,U,1,7,0.2857,
inf fr gyh,U,1,2,0.0,
inf fr gym,U,1,2,0.0,
inf fr gyp,U,1,1,1.0,
inf fronal orb,R,1,1,0.0,1.0
inf front,L,1,4,1.0,1.0
ifgorb,U,1,1,0.0,
ifj,R,1,1,0.0,1.0
ifj,U,1,1,0.0,
ifo,L,1,1,1.0,1.0
increased caudate body,U,1,1,0.0,
inf and dorsolat pfc,L,1,1,1.0,1.0
inf and dorsolat pfc,R,1,1,0.0,1.0
inf cerebellum,U,1,1,1.0,
ips ba 7,R,1,1,0.0,1.0
ips cluster 1,L,1,2,1.0,1.0
ips cluster 2,L,1,2,1.0,1.0
ips d,L,1,1,1.0,1.0
ips posterior,U,1,5,1.0,
ips v,L,1,1,1.0,1.0
ifg9,U,1,1,0.0,
ifgoper,U,1,1,0.0,
lateral cerebellum,R,1,1,0.0,1.0
lateral cuneus,U,1,1,1.0,
lateral dlpfc,U,1,1,1.0,
lateral extrastriate cortex,U,1,1,0.0,
lateral fef,L,1,1,1.0,1.0
lateral fef,U,1,1,1.0,
lateral fog,U,1,1,1.0,
lateral frontal cortex,L,1,1,1.0,1.0
lat glob pallidus,R,1,1,0.0,1.0
lat inf occipital,U,1,1,1.0,
lateral 2nd hg,U,1,2,0.0,
lateral anterior prefrontal cortex,L,1,1,1.0,1.0
lateral anterior prefrontal cortex,R,1,1,0.0,1.0
lateral bank of ips ips,R,1,1,0.0,1.0
lateral calcarine cortex,L,1,1,1.0,1.0
lateral cerebellum,L,1,1,1.0,1.0
itg 37,U,1,1,1.0,
its,L,1,1,1.0,1.0
its,U,1,1,1.0,
juxtapositional lobule c,U,1,1,0.0,
laic,U,1,1,1.0,
lamy,U,1,1,1.0,
lat dpmc,U,1,1,1.0,
lat glob pallidus,L,1,1,1.0,1.0
inf frontal gyrus ba 47,R,1,2,0.0,1.0
ipsa,L,1,1,1.0,1.0
ipsa,R,1,1,0.0,1.0
ipsilesional,U,1,8,0.875,
ipsilesional psmc,U,1,1,1.0,
ipto,U,1,2,1.0,
irlpfc,L,1,6,1.0,1.0
isthmus cingulate cortex,U,1,2,1.0,
ifg orbit,R,1,3,0.0,1.0
ifg orbitalis,U,1,1,1.0,
ifg p op,U,1,4,1.0,
ifg p tr,U,1,3,1.0,
ifg p tri,U,1,1,1.0,
ifg p triang ba 45,U,1,1,1.0,
ifg pars opercularis,L,1,1,1.0,1.0
ifg pars opercularis,U,1,5,0.2,
lateral occipital cx,U,1,1,0.0,
lateral occipital g,U,1,1,0.0,
lateral occipital lobe,U,1,1,0.0,
ifg opercular,L,1,1,1.0,1.0
ifg opercular,R,1,1,0.0,1.0
ifg opercularis,L,1,1,1.0,1.0
ifg orb,U,1,1,0.0,
ifg orbit,L,1,5,1.0,1.0
lateral middle occipital gyrus,L,1,1,1.0,1.0
lateral middle occipital gyrus,R,1,1,0.0,1.0
lateral occ cortex,U,1,5,1.0,
lateral occipital and lingual gyrus,L,1,1,1.0,1.0
lateral occipital complex,U,1,1,0.0,
lateral occipital cortex 19,U,1,1,1.0,
lateral occipital cortex ba 19,R,1,1,0.0,1.0
lateral occipital cortex tactile visual,L,1,1,1.0,1.0
lateral frontal gyrus,U,1,1,0.0,
lateral frontal pole,U,1,1,0.0,
lateral geniculum body,U,1,1,1.0,
lateral globus pallidus,L,1,1,1.0,1.0
lateral gp,U,1,1,0.0,
lateral inferior parietal cortex ba 40,L,1,4,1.0,1.0
lateral inferior parietal cortex ba 40,R,1,1,0.0,1.0
lateral middle frontal,U,1,1,0.0,
lateral orbitofrontal,U,1,1,0.0,
lateral orbitofrontal cortex,L,1,2,1.0,1.0
lateral orbitofrontal cortex,R,1,1,0.0,1.0
lateral orbitofrontal cortex ba 47,U,1,2,0.5,
lateral orbitofrontal ctx,U,1,1,1.0,
lateral orbitofrontal gyrus,R,1,1,0.0,1.0
lateral pfc,R,1,2,0.0,1.0
lateral prefrontal,U,1,2,0.0,
lateral occipitalcortex,L,1,1,1.0,1.0
lateral occipitalcortex,R,1,1,0.0,1.0
lateral occipitotemporal gyrus,R,1,1,0.0,1.0
lateral orbital cortex,L,1,1,1.0,1.0
lateral orbital frontal cortex,U,1,1,1.0,
lateral orbital g,U,1,1,0.0,
lateral orbital gyrus,R,1,2,0.0,1.0
lateral orbito frontal,U,1,2,0.5,
ifg triangular,L,1,1,1.0,1.0
ifg triangularis,U,1,3,0.6667,
ifg2,U,1,1,0.0,
ifg3,U,1,1,0.0,
ifg4,U,1,1,0.0,
lateral occipital sulcus,L,1,1,1.0,1.0
lateral occipital sulcus,R,1,1,0.0,1.0
lateral occipital visual area,U,1,1,0.0,
ifg pars opercularis 44,U,1,4,0.5,
ifg pars opercularis 45,U,1,1,0.0,
ifg pars triangularis,L,1,2,1.0,1.0
ifg pars triangularis 45,U,1,2,0.5,
ifg pars triangularis ba 44,U,1,1,1.0,
ifg pars yriangularis,U,1,1,1.0,
ifg tri,U,1,1,0.0,
ifg triang,L,1,4,1.0,1.0
lfpc,U,1,2,0.5,
lg ba 18,R,1,1,0.0,1.0
lifg ba 45,U,1,2,1.0,
lifg ba 45 44 47,U,1,1,1.0,
lifg ba 45 47 44,U,1,2,1.0,
lifg ba 47,U,1,1,1.0,
lifg pars opercularis,U,1,1,1.0,
lifga,U,1,2,1.0,
leniform nuclues,U,1,1,0.0,
lenticular nucleus,U,1,1,1.0,
lentiform ncl,U,1,1,1.0,
lentiform nuclear,L,1,1,1.0,1.0
lentiform nuclear,R,1,1,0.0,1.0
lentiform nucleus globus pallidus,L,1,1,1.0,1.0
lfc,U,1,1,1.0,
lfef,U,1,1,1.0,
lateral temporal cortex ba 22,R,1,1,0.0,1.0
lateral temporal cortex ba 37,R,1,1,0.0,1.0
lateral temporal cortex ba 42,R,1,1,0.0,1.0
lateral temporal occipital cortex,L,1,1,1.0,1.0
lateral thalamus,U,1,1,1.0,
lateral ventral frontopolar cortex,U,1,1,1.0,
lef opercular part of inferior frontal gyrus,U,1,1,1.0,
leftt lingual gyrus,U,1,1,1.0,
lateral prefrontal cortex medial prefrontal cortex orbitofrontal cortex anterior cingulate cortex,U,1,2,0.5,
lateral premotor ba 6,U,1,1,0.0,
lateral premotor cortex,U,1,1,0.0,
lateral premotor cortex ba 6,L,1,2,1.0,1.0
lateral rostral pfc ba 10,L,1,4,1.0,1.0
lateral rostral pfc ba 10,R,1,1,0.0,1.0
lateral superior temporal gyrus,U,1,3,1.0,
lateral temporal cortex ba 21,L,1,1,1.0,1.0
ifc,U,1,1,1.0,
ifg 13,U,1,1,0.0,
ifg 44 45,U,1,4,1.0,
ifg ba 10,U,1,1,1.0,
ifg ba 45 47,U,1,1,1.0,
ifg ba 47,L,1,1,1.0,1.0
ifg ba 47,U,1,1,0.0,
ifg ba 9,U,1,1,1.0,
i mpfc,U,1,1,0.0,
i supplementary motor area,U,1,2,0.0,
i temporal g,U,1,1,0.0,
i temporal lobe,U,1,1,0.0,
i temporal pole,U,1,1,0.0,
icc,R,1,1,0.0,1.0
ifc,L,1,1,1.0,1.0
ifc,R,1,1,0.0,1.0
ling,B,1,1,1.0,
ling,L,1,1,0.0,0.0
ling gyrus v1,U,1,1,1.0,
lingal gyrus,U,1,1,0.0,
lingual cortex,U,1,1,0.0,
lingual g ba 18,U,1,3,0.6667,
hyppocampus,U,1,1,0.0,
i middle cingulate cortex,U,1,1,0.0,
lifs,L,1,2,1.0,1.0
light mtg,U,1,1,1.0,
limbic lobe,U,1,1,1.0,
limbic lobe anterior cingulate gyrus,L,1,4,1.0,1.0
limbic lobe anterior cingulate gyrus,R,1,2,0.5,0.5
limbic lobe posterior cingulate,R,1,1,0.0,1.0
limbic posterior cingulate,L,1,1,1.0,1.0
lin ba 18,R,1,2,0.0,1.0
lobule ix of cerebellum,U,1,3,0.6667,
lobule ix of the cerebellum,U,1,2,0.0,
lobule vi of the cerebellum,U,1,3,0.3333,
lobule viib,L,1,2,0.0,0.0
lobule viib,R,1,2,1.0,0.0
lobule viiia of cerebellum,U,1,1,1.0,
loc and posterior middle temporal gyrus,L,1,1,1.0,1.0
loc superior division,L,1,1,1.0,1.0
linguala,R,1,1,0.0,1.0
lingualgyrus,L,1,1,1.0,1.0
lingulai gyrus,U,1,1,0.0,
lins,U,1,1,1.0,
linual gyrus,L,1,2,1.0,1.0
lmc,U,1,2,0.0,
lmfga,U,1,1,1.0,
lobule,U,1,1,1.0,
lingual gyrus ba 18,R,1,1,0.0,1.0
lingual gyrus ba 19,U,1,1,1.0,
lingual gyrus ba 8,R,1,1,0.0,1.0
lingual gyrus6,R,1,1,0.0,1.0
lingual gyrusf,U,1,1,1.0,
lingual gyrusinferior temporal gyrus,U,1,3,0.6667,
lingual gyurs,U,1,1,0.0,
lingual or fusiform gyrus,U,1,1,1.0,
ifg oper,B,1,1,1.0,
ifg oper,U,1,3,1.0,
ifg operc,L,1,1,1.0,1.0
ifg operc,R,1,1,0.0,1.0
lingual gyr,U,1,1,0.0,
lingual gyrus 17,R,1,2,0.0,1.0
lingual gyrus 17,U,1,1,0.0,
lingual gyrus ba 17,U,1,1,0.0,
hippocampus head,R,1,1,0.0,1.0
hippocampus tail,R,1,1,0.0,1.0
hippocampusa,U,1,2,0.5,
hippocampusb,U,1,1,1.0,
hippocampusroi,U,1,1,0.0,
hips,L,1,1,1.0,1.0
hoc4v,U,1,1,0.0,
hoc5,U,1,2,0.5,
hippocampal area,U,1,2,1.0,
hippocampal cortex,U,1,1,1.0,
hippocampal region,L,1,1,1.0,1.0
hippocampal region,R,1,1,0.0,1.0
hippocampus amygdala,U,1,2,1.0,
hippocampus and fusiform,L,1,1,1.0,1.0
hippocampus ba 35,L,1,1,1.0,1.0
hippocampus entorhinal cortex,R,1,1,0.0,1.0
los,R,1,1,0.0,1.0
los,U,1,1,1.0,
lotc,U,1,4,1.0,
heschl region,U,1,1,1.0,
heschls gyrus ba 48,R,1,1,0.0,1.0
hipocampus,U,1,1,1.0,
hipp,L,1,1,1.0,1.0
hipp,R,1,1,0.0,1.0
loc superior division,R,1,1,0.0,1.0
lofa,U,1,3,1.0,
lofc,L,1,1,1.0,1.0
lofc,R,1,2,0.0,1.0
loop for complex sentences,U,1,2,1.0,
loop for semantics,U,1,2,1.0,
lop,U,1,1,1.0,
los,L,1,2,1.0,1.0
ltalamus,U,1,1,1.0,
ltc,U,1,1,1.0,
ltha,U,1,1,1.0,
lv1v2,U,1,1,1.0,
lv3a,U,1,1,1.0,
lv4 vp,U,1,1,1.0,
lv5,U,1,2,1.0,
lvcs,U,1,1,1.0,
lps,U,1,2,0.0,
lps ba 7,U,1,3,0.6667,
lps ba 7 40,U,1,1,0.0,
lpsts,U,1,2,1.0,
lsloc,U,1,1,1.0,
lsma,U,1,1,1.0,
lstg,U,1,1,1.0,
lsts,U,1,2,1.0,
lpi ba 40,U,1,6,0.3333,
lpi ba 7 40,U,1,1,1.0,
lpic,U,1,1,1.0,
lpips,U,1,1,1.0,
lpm,L,1,1,1.0,1.0
lpmtg,U,1,3,1.0,
lppc,U,1,1,1.0,
lprecg,U,1,1,1.0,
horizontal ramus of the anterior segment of the lateral fissure,U,1,1,1.0,
lotv,U,1,2,0.5,
lpc ba 4,U,1,1,1.0,
lpc ba 5 7,U,1,1,0.0,
lpcc,U,1,1,1.0,
lpcg,U,1,1,1.0,
lpfca,R,1,1,0.0,1.0
lpi ba 39,U,1,2,0.5,
med fr gy,U,1,2,0.5,
med fr gy to sup fr gy,U,1,1,0.0,
med fr gy to sup fr gyg,U,1,1,0.0,
med fr gy0,U,1,1,0.0,
med fr gyh,U,1,1,0.0,
med fr gyo,U,1,1,1.0,
med frontal gyrus,L,1,1,1.0,1.0
med frontal gyrus,R,1,1,0.0,1.0
maximum 3 thalamus,R,1,1,0.0,1.0
mcc and precuneus,B,1,1,0.0,
mcg,L,1,1,1.0,1.0
mcg,R,1,1,0.0,1.0
mdlpfc,U,1,2,0.5,
mdn,U,1,1,0.0,
mdn thalamus,L,1,1,1.0,1.0
mdn thalamus,R,1,1,0.0,1.0
m1 and thalamus,U,1,1,1.0,
m1a,U,1,1,1.0,
m1damh,U,1,4,1.0,
marginal branch of the cingulate sulcus,U,1,2,1.0,
marginal sulcus,L,1,1,1.0,1.0
maximum 1 middle temporal gyrus,U,1,1,0.0,
maximum 2,U,1,1,1.0,
maximum 3 sma,U,1,1,1.0,
lventro lateral prefrontal cortex,U,1,1,1.0,
lvstr,U,1,2,1.0,
lvv,U,1,1,1.0,
lyngual gyrus ba 18,U,1,1,1.0,
m middle cingulate cortex,U,1,1,0.0,
m paracingulate ba 6 8,U,1,1,0.0,
m posterior medial frontal gyrus,U,1,5,0.8,
m1 4,U,1,2,1.0,
gti ba 37,U,1,1,1.0,
gtm ba 19,U,1,1,1.0,
gtm ba 21,U,1,5,0.6,
gtm ba 21 37,U,1,1,1.0,
gtm ba 37,U,1,1,1.0,
gtm ba 39,U,1,1,0.0,
gts ba 22,U,1,6,0.3333,
gts ba 38,U,1,1,1.0,
medial cuneus,U,1,1,1.0,
medial dlpfc,U,1,1,1.0,
medial fontal gyrus,R,1,1,0.0,1.0
gprc ba 4 6,U,1,5,0.4,
gprc ba 6,U,1,3,0.6667,
gray ba 11,U,1,1,0.0,
gsc ba 25,U,1,1,1.0,
gsm 40,U,1,5,0.6,
medial 2nd hg hs,U,1,1,0.0,
medial ahg,U,1,2,0.0,
medial aspect of frontal lobe,U,1,1,1.0,
medial cerebellum,R,1,2,0.0,1.0
medial cerebellum,U,1,1,0.0,
medial cingulate cortex,L,1,1,1.0,1.0
medial cingulate cortex,U,1,1,1.0,
medial cingulum,U,1,1,0.0,
med frontal orb,R,1,1,0.0,1.0
med orbital gyrus,R,1,1,0.0,1.0
med prefrontal,L,1,1,1.0,1.0
med sfc ba 6,R,1,1,0.0,1.0
med sup frontal,L,1,1,1.0,1.0
med sup frontal g,U,1,1,1.0,
media frontal gyrus,U,1,1,1.0,
medial 2nd hg,U,1,1,1.0,
medial frontal gyrus 32,U,1,1,1.0,
medial frontal gyrus 6,R,1,4,0.0,1.0
medial frontal gyrus 9,U,1,1,1.0,
medial frontal gyrus ba 10,R,1,1,0.0,1.0
medial frontal gyrus ba 10,U,1,4,1.0,
medial frontal gyrus ba 10 11,L,1,1,1.0,1.0
medial frontal gyrus ba 23,U,1,1,0.0,
medial frontal gyrus ba 25,L,1,1,1.0,1.0
medial frontal g,L,1,2,1.0,1.0
medial frontal g ba 10,U,1,1,0.0,
medial frontal g ba 9,R,1,1,0.0,1.0
medial frontal g ba 9,U,1,2,0.5,
medial frontal gyrus 10,U,1,2,0.5,
medial frontal gyrus 11,L,1,1,1.0,1.0
medial frontal gyrus 29,U,1,1,1.0,
medial frontal gyrus 32,L,1,1,1.0,1.0
head of the caudate nucleus,B,1,2,1.0,
heschels gyrus,U,1,1,1.0,
heschis,R,1,1,0.0,1.0
heschis gyrus,L,1,1,1.0,1.0
medial frontal cortex 10 11,U,1,1,1.0,
medial frontal cortex 11,U,1,1,1.0,
medial frontal cortex 24 32,U,1,1,1.0,
medial frontal cortex and anterior cingulated,U,1,1,1.0,
gts ba 42,U,1,1,0.0,
gtt ba 41 42,U,1,2,0.5,
gyrus descendens,U,1,1,0.0,
gyrus frontalis inferior pars opercularis,U,1,1,1.0,
gyrus frontalis medius,U,1,2,0.5,
gyrus fusiformis,U,1,1,1.0,
head of caudate nucleus,U,1,2,0.5,
head of the caudate and subgenual area,U,1,1,0.0,
medial occipito temporal gyrus lingual gyrus,U,1,1,1.0,
medial occipito temporal gyrus parahippocampal gyrus,U,1,2,1.0,
medial occipito temporal sculcus and lingual sulcus,U,1,1,1.0,
medial occipitotemporal gyrus,R,1,1,0.0,1.0
medial ofc ba 11,U,1,1,0.0,
medial orbital cortex,U,1,1,0.0,
medial orbital frontal,L,1,1,1.0,1.0
medial orbital gyrus,L,1,1,1.0,1.0
medial lingual gyrus,R,1,1,0.0,1.0
medial lingual gyrus ba 18,L,1,1,1.0,1.0
medial m1 ba 4,U,1,1,0.0,
medial nucleus of septum,U,1,1,0.0,
medial occipital cortex ba 18,L,1,1,1.0,1.0
medial occipital cortex ba 19,R,1,1,0.0,1.0
medial occipital lobe,U,1,1,0.0,
medial occipito parietal cortex ba 7 19,L,1,1,1.0,1.0
medial frontal polar cortex ba 10,U,1,3,0.0,
medial frontal polar cortex ba 9,U,1,1,1.0,
medial frontal polar cortex ba 9 10,U,1,1,0.0,
medial frontal pole,U,1,1,1.0,
medial geniculate body,U,1,1,1.0,
medial hg,U,1,1,0.0,
medial insula,R,1,1,0.0,1.0
medial lingual gyrus,L,1,1,1.0,1.0
medial frontal gyrus ba 32,R,1,1,0.0,1.0
medial frontal gyrus ba 8,R,1,2,0.0,1.0
medial frontal gyrus orbitalis,R,1,2,0.0,1.0
medial frontal gyrusb,L,1,1,1.0,1.0
medial frontal gyrusb,U,1,2,0.0,
medial frontal lobe,L,1,1,1.0,1.0
medial frontal ofc,U,1,1,0.0,
medial frontal orbitalis,U,1,2,0.0,
gl ba 19,U,1,3,0.3333,
gl pallidus,U,1,1,0.0,
global pallidus,U,1,2,0.5,
globus pallidum,R,1,1,0.0,1.0
globus pallidum,U,1,1,1.0,
go ba 19,U,1,3,0.3333,
gom,U,1,1,1.0,
gom ba 18,U,1,2,0.0,
gfm ba 8,U,1,1,0.0,
gfm ba 9,U,1,4,0.75,
gfs ba 10,U,1,6,0.3333,
gfs ba 9,U,1,2,0.5,
gh ba 28,U,1,1,0.0,
gh ba 28 35,U,1,1,0.0,
gl ba 17 18,U,1,1,0.0,
gl ba 18,U,1,5,0.2,
gfd ba 9,U,1,1,1.0,
gfi ba 44,U,1,5,0.2,
gfi ba 45,U,1,2,1.0,
gfi ba 47,U,1,4,0.5,
gfm ba 10,U,1,2,0.5,
gfm ba 46,U,1,2,1.0,
gfm ba 46 9,U,1,1,0.0,
gfm ba 6,U,1,3,0.3333,
medial orbital gyrus,R,1,1,0.0,1.0
medial orbital gyrus 25,U,1,1,1.0,
medial orbital sulcus,U,1,1,0.0,
medial orbito frontal cortex,R,1,2,0.0,1.0
medial orbitofrontal,L,1,1,1.0,1.0
medial orbitofrontal,R,1,1,0.0,1.0
medial orbitofrontal ba 11,U,1,1,0.0,
gfd ba 8,U,1,3,0.6667,
medial prefrontal gyrus ba 10,L,1,1,1.0,1.0
medial premotor cortex,R,1,1,0.0,1.0
medial premotor cortex,U,1,1,0.0,
medial rostral pfc ba 10,L,1,1,1.0,1.0
medial sup frontal,L,1,3,1.0,1.0
medial sup frontal,R,1,1,0.0,1.0
medial superior frontal gryus,U,1,2,1.0,
medial superior parietal cortex ba 7,U,1,1,1.0,
medial prefrontal ba 9 10,U,1,1,0.0,
medial prefrontal cortex,B,1,1,0.0,
medial prefrontal cortex ba 10,L,1,2,1.0,1.0
medial prefrontal cortex ba 10,U,1,2,0.0,
medial prefrontal cortex ba 32,U,1,1,0.0,
medial prefrontal cortex ba 8,U,1,1,0.0,
medial prefrontal ctx,U,1,1,0.0,
medial prefrontal gyrus,L,1,1,1.0,1.0
medial pfc,L,1,1,1.0,1.0
medial pfc,R,1,1,0.0,1.0
medial pfc ba 8,R,1,1,0.0,1.0
medial posterior parietal and precuneus,U,1,1,1.0,
medial pre frontal,U,1,1,1.0,
medial precentral gyrus,U,1,1,1.0,
medial precuneus,U,1,1,1.0,
medial prefrontal,R,1,1,0.0,1.0
gom ba 19 37,U,1,2,1.0,
gpi,U,1,2,0.0,
gpoc,R,1,1,0.0,1.0
gprc ba 4,U,1,1,0.0,
medial orbitofrontal gyrus,U,1,1,0.0,
medial parahippocampal gyrus,L,1,1,1.0,1.0
medial parietal,U,1,1,0.0,
medial parietal lobe,U,1,1,1.0,
g8 insular and sublobar,L,1,1,1.0,1.0
ga ba 39,U,1,2,0.5,
gc ba 31,U,1,3,0.0,
gc ba 32,U,1,3,0.6667,
genu,U,1,1,0.0,
genu of corpus callosum,U,1,1,0.0,
gf ba 19,U,1,1,1.0,
gfd ba 10,U,1,2,0.5,
fusiform gyrus ba 36,L,1,1,1.0,1.0
fusiform gyrus ba 37,L,1,3,1.0,1.0
fusiform gyrus ba 37 include parahippocampal gyrus ba 36,L,1,1,1.0,1.0
fusiform gyrusa,R,1,1,0.0,1.0
fusiform itg,U,1,1,1.0,
fusiformgyrus,R,1,1,0.0,1.0
fusifrom gyrus,U,1,1,1.0,
g1 temporal lobe ba 37,R,1,1,0.0,1.0
medial temportal pole,U,1,1,0.0,
medial thalamus,L,1,1,1.0,1.0
medial tts,U,1,2,0.5,
fusiform gyrus 20,R,1,1,0.0,1.0
fusiform gyrus 20 37,U,1,1,1.0,
fusiform gyrus 36,U,1,1,0.0,
fusiform gyrus and lingual gyrus,R,1,1,0.0,1.0
fusiform gyrus ba 18,L,1,1,1.0,1.0
medial supplementary motor area,U,1,2,0.5,
medial temporal,R,1,1,0.0,1.0
medial temporal cortex,R,1,2,0.0,1.0
medial temporal gyrus,L,1,1,1.0,1.0
medial temporal gyrus,R,1,1,0.0,1.0
medial temporal lobe ba 20 27 35 36,L,1,1,1.0,1.0
medial temporal lobe ba 20 27 35 36,R,1,1,0.0,1.0
medial temporal pole,L,1,1,1.0,1.0
mid acc 24,U,1,1,0.0,
fusifom gyrus,R,1,1,0.0,1.0
