lit_name,lit_surface_top,lit_n_surface,k_papers,n_observed,eff_n,n80,top1_p,rank,bna_L2_abbr,bna_L2_name,bna_lobe,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved,lit_surface_forms
inferior frontal operculum ba 47,Inferior frontal operculum (BA 47),1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal operculum (BA 47)
inferior frontal orbital gyrus,Inferior frontal orbital gyrus,2,3.0,3,21.57,18,0.1001,1,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,Inferior frontal orbital gyrus | Inferior frontal orbital gyrus L
inferior frontal orbital gyrus,Inferior frontal orbital gyrus,2,3.0,3,21.57,18,0.1001,2,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,Inferior frontal orbital gyrus | Inferior frontal orbital gyrus L
inferior frontal orbital gyrus,Inferior frontal orbital gyrus,2,3.0,3,21.57,18,0.1001,3,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,Inferior frontal orbital gyrus | Inferior frontal orbital gyrus L
inferior frontal pars opercularis,L inferior frontal pars opercularis,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L inferior frontal pars opercularis
inferior frontal pars opercularis ba 48,Inferior Frontal pars Opercularis (BA48),1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior Frontal pars Opercularis (BA48)
inferior frontal pars orbitalis,R inferior frontal pars orbitalis,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,R inferior frontal pars orbitalis
inferior frontal pars triangularis,L inferior frontal pars triangularis,2,2.0,2,22.13,19,0.1071,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,2,0.1071,0.5,0.03571,L inferior frontal pars triangularis | R inferior frontal pars triangularis
inferior frontal pars triangularis,L inferior frontal pars triangularis,2,2.0,2,22.13,19,0.1071,2,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,L inferior frontal pars triangularis | R inferior frontal pars triangularis
inferior frontal pars triangularis ba 47,Inferior frontal pars triangularis (BA 47),1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal pars triangularis (BA 47)
inferior frontal region,Inferior frontal region,1,1.0,1,22.91,19,0.1153,1,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal region
