lit_name,lit_surface_top,lit_n_surface,bna_L2_abbr,bna_L2_name,k_papers,n_observed,n_support,eff_n,n80,top1_p,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_label_id_L,bna_label_id_R,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved
extra nuclear,Extra nuclear,6,Tha,Thalamus,3.0,3,8,6.91,6,0.2143,2,Tha_L(R)_8_6,Otha,occipital thalamus,241,242,1.0,1.0,1,0.2143,0.3333,0.07143
extra nuclear,Extra nuclear,6,Tha,Thalamus,3.0,3,8,6.91,6,0.2143,3,Tha_L(R)_8_8,lPFtha,lateral pre-frontal thalamus,245,246,1.0,1.0,1,0.2143,0.3333,0.07143
extra striate cortex,L. Extra-Striate Cortex,2,FuG,Fusiform Gyrus,1.0,1,3,2.59,2,0.6,1,FuG_L(R)_3_2,A37mv,medioventral area 37,105,106,1.0,1.0,1,0.6,1.0,0.2
extra striate cortex,L. Extra-Striate Cortex,2,MVOcC,MedioVentral Occipital Cortex,1.0,1,5,4.37,4,0.4285,1,MVOcC_L(R)_5_4,rLinG,rostral lingual gyrus,195,196,1.0,1.0,1,0.4286,1.0,0.14286
extrastriate,Left extrastriate,2,FuG,Fusiform Gyrus,1.0,1,3,2.59,2,0.6,1,FuG_L(R)_3_3,A37lv,lateroventral area 37,107,108,1.0,1.0,1,0.6,1.0,0.2
extrastriate,Left extrastriate,2,LOcC,lateral Occipital Cortex,2.0,2,6,5.17,4,0.3,1,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,201,202,1.0,1.0,2,0.3,0.5,0.1
extrastriate,Left extrastriate,2,LOcC,lateral Occipital Cortex,2.0,2,6,5.17,4,0.3,2,LOcC_L(R)_4_3,OPC,occipital polar cortex,203,204,1.0,1.0,1,0.3,0.5,0.1
extrastriate body area,Extrastriate body area,1,LOcC,lateral Occipital Cortex,1.0,1,6,5.3,5,0.375,1,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,201,202,1.0,1.0,1,0.375,1.0,0.125
extrastriate cortex,Extrastriate cortex,2,IPL,Inferior Parietal Lobule,1.0,1,6,5.3,5,0.375,1,IPL_L(R)_6_1,A39c,caudal area 39(PGp),135,136,1.0,1.0,1,0.375,1.0,0.125
extrastriate cortex,Extrastriate cortex,2,MVOcC,MedioVentral Occipital Cortex,2.0,1,5,3.68,4,0.5556,1,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,197,198,2.0,2.0,2,0.5556,1.0,0.11111
extrastriate vis cortex ba 18,Extrastriate vis cortex (BA18),1,LOcC,lateral Occipital Cortex,2.0,2,6,5.17,4,0.3,1,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,199,200,1.0,1.0,1,0.3,0.5,0.1
