structure_name,species,source_atlas
External globus pallidus (medial part),Rat,Leergaard2023_WHS
"External medullary lamina, auditory radiation",Rat,WaxholmSpace_v4
"External medullary lamina, unspecified",Rat,WaxholmSpace_v4
"Facial nerve, unspecified",Rat,WaxholmSpace_v4
Fasciculus retroflexus,Rat,WaxholmSpace_v4
Fasciola cinereum,Rat,WaxholmSpace_v4
Fields of Forel,Rat,Leergaard2023_WHS | WaxholmSpace_v4
Fimbria of the hippocampus,Rat,WaxholmSpace_v4
Fornix,Rat,WaxholmSpace_v4
Frontal association area 3,Rat,WaxholmSpace_v4
Frontal association cortex,Rat,WaxholmSpace_v4
Genu of the facial nerve,Rat,WaxholmSpace_v4
"Globus pallidus external, lateral part",Rat,WaxholmSpace_v4
"Globus pallidus external, medial part",Rat,WaxholmSpace_v4
Glomerular layer of the accessory olfactory bulb,Rat,WaxholmSpace_v4
Glomerular layer of the olfactory bulb,Rat,WaxholmSpace_v4
Granular insular cortex,Rat,WaxholmSpace_v4
Habenula (lateral part),Rat,Leergaard2023_WHS
Habenula (medial part),Rat,Leergaard2023_WHS
Habenular commissure,Rat,WaxholmSpace_v4
"Hypothalamic region, unspecified",Rat,WaxholmSpace_v4
Inferior cerebellar peduncle,Rat,WaxholmSpace_v4
"Inferior colliculus, brachium",Rat,WaxholmSpace_v4
"Inferior colliculus, central nucleus",Rat,WaxholmSpace_v4
"Inferior colliculus, commissure",Rat,WaxholmSpace_v4
"Inferior colliculus, dorsal cortex",Rat,WaxholmSpace_v4
"Inferior colliculus, external cortex",Rat,WaxholmSpace_v4
Inferior olive,Rat,WaxholmSpace_v4
Infralimbic area,Rat,WaxholmSpace_v4
Infundibulum,Rat,Swanson2018_BrainMaps4
Interanteromedial thalamic nucleus,Rat,WaxholmSpace_v4
Intergeniculate leaflet,Rat,WaxholmSpace_v4
Intermediodorsal thalamic nucleus,Rat,WaxholmSpace_v4
Internal medullary lamina,Rat,WaxholmSpace_v4
Interpeduncular nucleus,Rat,WaxholmSpace_v4
Intramedullary thalamic area,Rat,WaxholmSpace_v4
Lateral entorhinal cortex,Rat,WaxholmSpace_v4
Lateral habenular nucleus,Rat,WaxholmSpace_v4
"Lateral lemniscus, commissure",Rat,WaxholmSpace_v4
"Lateral lemniscus, dorsal nucleus",Rat,WaxholmSpace_v4
"Lateral lemniscus, intermediate nucleus",Rat,WaxholmSpace_v4
"Lateral lemniscus, unspecified",Rat,WaxholmSpace_v4
"Lateral lemniscus, ventral nucleus",Rat,WaxholmSpace_v4
Lateral olfactory tract,Rat,WaxholmSpace_v4
Lateral orbital area,Rat,WaxholmSpace_v4
